band,date,patch,total.bright,avg.bright,hue,chrom,unique.id
NB042,70913,r,67418.97467,33.60866135,671.7466667,0.400000649,NB042.70913
NB042,70913,t,22451.7341,11.19229018,663.47,0.495374938,NB042.70913
NB042,70913,v,39286.2502,19.58437198,667.4266667,0.478472476,NB042.70913
NB043,90713,b,44904.66673,22.48606246,627.4233333,0.475486714,NB043.70913
NB043,90713,r,57154.90233,28.62038174,641.7533333,0.405799331,NB043.70913
NB043,90713,t,27019.13013,13.52985986,687.4266667,0.462809083,NB043.70913
NB043,90713,v,29132.66737,14.58821601,660.4,0.484318885,NB043.70913
NB044,70913,b,84238.72733,42.18263762,594.13,0.375022395,NB044.70913
NB044,70913,r,82223.88767,41.17370439,635.14,0.393836615,NB044.70913
NB044,70913,t,22699.71867,11.3669097,660.7666667,0.54402189,NB044.70913
NB044,70913,v,80919.71667,40.52063929,611.7533333,0.408982243,NB044.70913
NB045,70913,b,53324.29953,26.58240256,650.1133333,0.299479321,NB045.70913
NB045,70913,r,44020.46853,21.94440106,650.0433333,0.448313454,NB045.70913
NB045,70913,t,20703.77,10.32092223,667.8133333,0.508543878,NB045.70913
NB045,70913,v,30155.29933,15.03255201,660.0733333,0.508517285,NB045.70913
NB046,70913,b,75259.08233,37.68607027,610.42,0.370802995,NB046.70913
NB046,70913,r,39399.4708,19.72932939,642.7066667,0.51349828,NB046.70913
NB046,70913,t,19545.66337,9.787512953,678.0733333,0.505677774,NB046.70913
NB046,70913,v,38354.2572,19.20593751,651.09,0.495433315,NB046.70913
NB047,70913,b,43527.4782,21.69864317,643.42,0.393392721,NB047.70913
NB047,70913,r,53755.14767,26.79718229,636.7266667,0.431141991,NB047.70913
NB047,70913,t,36090.12453,17.991089,655.4233333,0.439153537,NB047.70913
NB047,70913,v,59608.14633,29.71492838,616.79,0.445239159,NB047.70913
NB048,70913,b,72344.21487,36.2264471,596.82,0.410406372,NB048.70913
NB048,70913,r,51502.1352,25.78975223,648.4666667,0.458221429,NB048.70913
NB048,70913,t,35859.54647,17.9567083,666.8033333,0.462722647,NB048.70913
NB048,70913,v,43209.09623,21.63700362,622.7366667,0.479499099,NB048.70913
NB049,70913,b,41361.6838,20.61898495,659.17,0.487454461,NB049.70913
NB049,70913,r,62276.67333,31.04520106,667.1133333,0.412934195,NB049.70913
NB049,70913,t,26685.70573,13.30294403,666.49,0.518506027,NB049.70913
NB049,70913,v,39420.66063,19.65137619,659.4833333,0.474302685,NB049.70913
NB050,70913,b,103091.071,51.62296995,643.4066667,0.305044087,NB050.70913
NB050,70913,r,84219.17433,42.17284644,635.4333333,0.353183868,NB050.70913
NB050,70913,t,26379.59877,13.2096138,667.73,0.54057591,NB050.70913
NB050,70913,v,78518.526,39.31824036,627.1733333,0.366306837,NB050.70913
NB051,70913,b,128007.0123,64.09965565,628.3866667,0.296562903,NB051.70913
NB051,70913,r,100224.301,50.18743165,581.7466667,0.358568612,NB051.70913
NB051,70913,t,38814.93807,19.43662397,672.43,0.42468062,NB051.70913
NB051,70913,v,66041.9002,33.07055593,604.4966667,0.422723956,NB051.70913
NB052,71013,b,48163.45933,24.11790653,642.3933333,0.373885848,NB052.71013
NB052,71013,r,42831.7912,21.4480677,608.44,0.470199873,NB052.71013
NB052,71013,t,21330.89577,10.68147009,678.7966667,0.519874732,NB052.71013
NB052,71013,v,26555.17127,13.29753193,597.8,0.51039971,NB052.71013
NB053,71013,b,79457.28,39.60981057,659.17,0.365995143,NB053.71013
NB053,71013,r,68510.96067,34.15302127,659.17,0.420578304,NB053.71013
NB053,71013,t,20571.60157,10.25503568,666.49,0.522487969,NB053.71013
NB053,71013,v,56696.39267,28.26340611,666.49,0.403015129,NB053.71013
NB054,71013,b,88422.065,44.07879611,659.17,0.349370757,NB054.71013
NB054,71013,r,62719.02257,31.26571414,659.17,0.41986091,NB054.71013
NB054,71013,t,15938.3848,7.945356331,640.1066667,0.521514318,NB054.71013
NB054,71013,v,43841.8581,21.85536296,659.17,0.489879536,NB054.71013
NB055,71013,b,79675.38717,39.71853797,681.74,0.353431911,NB055.71013
NB055,71013,r,108454.8603,54.06523446,635.7766667,0.345240376,NB055.71013
NB055,71013,t,33008.25987,16.45476564,675.05,0.47888198,NB055.71013
NB055,71013,v,51643.93493,25.74473327,675.05,0.442764307,NB055.71013
NB056,71013,b,32077.30677,16.0627475,642.78,0.462065687,NB056.71013
NB056,71013,r,59717.026,29.90336805,624.4633333,0.466192504,NB056.71013
NB056,71013,t,21412.5219,10.72234447,684.1266667,0.519618467,NB056.71013
NB056,71013,v,35485.87153,17.76959015,640.7633333,0.498486166,NB056.71013
NB057,71013,b,41030.11153,20.54587458,609.7933333,0.416572087,NB057.71013
NB057,71013,r,37925.50003,18.99123687,610.5,0.432274537,NB057.71013
NB057,71013,t,28666.35237,14.35470825,669.09,0.483507962,NB057.71013
NB057,71013,v,30711.1503,15.37864311,658.09,0.493706867,NB057.71013
NB058,71013,b,34652.0225,17.35203931,610.18,0.443345494,NB058.71013
NB058,71013,r,25623.61183,12.8310525,626.4066667,0.490764547,NB058.71013
NB058,71013,t,19192.14817,9.610489818,644.7066667,0.475107929,NB058.71013
NB058,71013,v,30151.03663,15.09816557,611.14,0.488640166,NB058.71013
NB059,71113,b,79003.767,39.56122534,610.07,0.397496056,NB059.71113
NB059,71113,r,77384.458,38.75035453,579.77,0.390859755,NB059.71113
NB059,71113,t,24465.2157,12.25098433,684.7733333,0.500704943,NB059.71113
NB059,71113,v,54725.43227,27.40382187,603.0766667,0.497048685,NB059.71113
NB060,71113,b,39121.36097,19.59006558,666.4133333,0.449638875,NB060.71113
NB060,71113,r,41846.34763,20.95460573,642.0733333,0.463878967,NB060.71113
NB060,71113,t,16492.74357,8.258759923,679.4133333,0.492043725,NB060.71113
NB060,71113,v,34365.71303,17.20866952,635.43,0.518424844,NB060.71113
NB061,71113,b,45987.18533,23.02813487,627.4333333,0.438842227,NB061.71113
NB061,71113,r,36484.6929,18.26975108,626.7933333,0.429615012,NB061.71113
NB061,71113,t,26293.54003,13.1665198,659.3933333,0.506138454,NB061.71113
NB061,71113,v,43889.43163,21.97768234,611.4633333,0.465579978,NB061.71113
NB062,71113,b,39124.0531,19.59141367,662.4533333,0.458167274,NB062.71113
NB062,71113,r,34893.9871,17.47320336,623.74,0.479286816,NB062.71113
NB062,71113,t,20908.2587,10.4698341,684.8,0.491491139,NB062.71113
NB062,71113,v,29764.42127,14.90456748,624.11,0.496945041,NB062.71113
NB063,71113,b,49495.98973,24.78517263,626.7933333,0.453504511,NB063.71113
NB063,71113,r,37953.15383,19.00508454,643.7266667,0.479660034,NB063.71113
NB063,71113,t,21389.15563,10.71064378,660.4,0.488951683,NB063.71113
NB063,71113,v,44483.52113,22.27517333,660.78,0.484514947,NB063.71113
NB064,71113,b,31156.99743,15.60190157,660.02,0.487743799,NB064.71113
NB064,71113,r,29534.8026,14.78958568,643.4066667,0.487588715,NB064.71113
NB064,71113,t,23437.75543,11.73648244,669.4033333,0.476919608,NB064.71113
NB064,71113,v,36523.77097,18.28931946,626.7933333,0.483765072,NB064.71113
NB065,71113,b,48934.4991,24.50400556,657.75,0.461834426,NB065.71113
NB065,71113,r,36177.9144,18.1161314,674.06,0.50336481,NB065.71113
NB065,71113,t,14622.09577,7.32203093,689.1066667,0.471134777,NB065.71113
NB065,71113,v,27644.0197,13.84277401,670.4066667,0.512936333,NB065.71113
NB066,71113,b,120368.7127,60.0043433,675.4266667,0.315534062,NB066.71113
NB066,71113,r,70024.63733,34.90759588,595.7333333,0.438670833,NB066.71113
NB066,71113,t,15008.73233,7.481920405,690.44,0.50177255,NB066.71113
NB066,71113,v,41541.2352,20.70849212,651.4333333,0.485221225,NB066.71113
NB067,71113,b,64177.8621,32.13713676,649.7266667,0.366546145,NB067.71113
NB067,71113,r,41789.612,20.92619529,664.78,0.477376566,NB067.71113
NB067,71113,t,22846.31343,11.44031719,686.78,0.534796371,NB067.71113
NB067,71113,v,42685.1708,21.37464737,664.4,0.514793525,NB067.71113
NB068,71113,b,65825.0987,32.81410703,657.7266667,0.424855208,NB068.71113
NB068,71113,r,33916.676,16.90761515,682.4233333,0.50872388,NB068.71113
NB068,71113,t,26640.41893,13.28036836,682.4233333,0.504992862,NB068.71113
NB068,71113,v,38743.85273,19.31398441,644.81,0.458153249,NB068.71113
NB069,71113,b,42060.1885,20.96719267,631.1366667,0.504068839,NB069.71113
NB069,71113,r,49419.93167,24.63605766,653.7366667,0.460897682,NB069.71113
NB069,71113,t,27222.3183,13.57044781,686.7766667,0.486025116,NB069.71113
NB069,71113,v,65671.88903,32.73773132,664.3375,0.461162983,NB069.71113
NB070,71113,b,61265.33333,30.67868469,599.4333333,0.41692309,NB070.71113
NB070,71113,r,46672.7652,23.37143976,647.4333333,0.468902022,NB070.71113
NB070,71113,t,22216.4011,11.12488788,674.7533333,0.504635429,NB070.71113
NB070,71113,v,31953.68283,16.00084268,655.72,0.530021241,NB070.71113
NB071,71113,b,41599.17017,20.83083133,610.18,0.465365652,NB071.71113
NB071,71113,r,38629.22603,19.34362846,627.12,0.48973029,NB071.71113
NB071,71113,t,26530.19537,13.28502522,689.11,0.485862962,NB071.71113
NB071,71113,v,38545.09807,19.30150129,611.1433333,0.482572074,NB071.71113
NB072,71113,b,25915.2894,12.97711037,660.02,0.468180308,NB072.71113
NB072,71113,r,30845.52293,15.44593036,643.7266667,0.498797438,NB072.71113
NB072,71113,t,28767.9106,14.40556365,660.4,0.474721216,NB072.71113
NB072,71113,v,38974.1789,19.516364,660.02,0.486194471,NB072.71113
NB073,71113,b,51747.50297,25.91262041,645.1233333,0.439395001,NB073.71113
NB073,71113,r,43727.11513,21.89640217,655.7433333,0.486485024,NB073.71113
NB073,71113,t,36402.65253,18.22866927,671.4133333,0.466694812,NB073.71113
NB073,71113,v,44772.09453,22.41967678,668.4233333,0.500669501,NB073.71113
NB074,71113,b,41135.78707,20.59879172,643.4066667,0.489513656,NB074.71113
NB074,71113,r,65253.75833,32.67589301,626.7933333,0.429558629,NB074.71113
NB074,71113,t,37422.03697,18.73912717,660.02,0.449983558,NB074.71113
NB074,71113,v,34788.9042,17.42058297,660.02,0.503390304,NB074.71113
NB075,71113,b,48961.8888,24.51772098,634.8,0.448624723,NB075.71113
NB075,71113,r,32845.80983,16.44757628,662.1166667,0.500826274,NB075.71113
NB075,71113,t,23394.56233,11.71485345,610.4366667,0.511724851,NB075.71113
NB075,71113,v,34902.6972,17.47756495,653.1133333,0.521683861,NB075.71113
NB076,71113,b,46673.49333,23.37180437,643.4066667,0.440881801,NB076.71113
NB076,71113,r,48420.01833,24.24637873,643.7266667,0.435334917,NB076.71113
NB076,71113,t,19112.0913,9.570401252,660.4,0.45129582,NB076.71113
NB076,71113,v,25218.43487,12.62815967,659.7066667,0.48809961,NB076.71113
NB077,71113,b,48854.16847,24.4637799,627.1133333,0.437673191,NB077.71113
NB077,71113,r,33217.8067,16.63385413,643.4066667,0.464386483,NB077.71113
NB077,71113,t,23780.04133,11.90788249,660.4,0.458887745,NB077.71113
NB077,71113,v,42855.8475,21.46011392,643.4066667,0.483033528,NB077.71113
NB078,71113,b,41355.3782,20.70875223,626.0933333,0.464666676,NB078.71113
NB078,71113,r,32734.27687,16.39172602,669.7166667,0.483711609,NB078.71113
NB078,71113,t,30092.96473,15.069086,627.1133333,0.450536719,NB078.71113
NB078,71113,v,36831.66833,18.44349942,653.4233333,0.471656866,NB078.71113
NB079,71113,b,87305.054,43.71810416,610.18,0.365519576,NB079.71113
NB079,71113,r,45973.92033,23.02149241,653.11,0.461241624,NB079.71113
NB079,71113,t,32976.36817,16.51295351,679.4133333,0.452073313,NB079.71113
NB079,71113,v,47657.2841,23.86443871,643.7266667,0.46173064,NB079.71113
NB080,71113,b,36984.95107,18.52025592,640.36,0.471074536,NA
NB080,71113,r,38876.1073,19.46725453,656.4266667,0.501404382,NA
NB080,71113,t,22884.17787,11.45927785,683.7233333,0.519731753,NA
NB080,71113,v,37351.6694,18.70389054,654.75,0.475927187,NA
NB081,71113,b,62411.4029,31.11236436,585.4233333,0.419901333,NB081.71113
NB081,71113,r,44033.1027,21.95069925,635.7233333,0.472560057,NB081.71113
NB081,71113,t,18940.21183,9.441780575,671.4333333,0.510880276,NB081.71113
NB081,71113,v,35552.4421,17.72305189,597.4033333,0.482201242,NB081.71113
NB082,71113,b,60577.249,30.33412569,603.79,0.4103468,NB082.71113
NB082,71113,r,43046.61787,21.5556424,638.7833333,0.463917903,NB082.71113
NB082,71113,t,31996.7053,16.02238623,680.0666667,0.495127357,NB082.71113
NB082,71113,v,26346.61673,13.19309801,631.7233333,0.523345197,NB082.71113
NB083,71113,b,70161.86023,35.13363056,625.8233333,0.343971913,NB083.71113
NB083,71113,r,54464.10833,27.27296361,661.73,0.444618722,NB083.71113
NB083,71113,t,42384.03283,21.22385219,669.4466667,0.41735666,NB083.71113
NB083,71113,v,37948.68663,19.00284759,667.1133333,0.526972181,NB083.71113
NB084,71113,b,65536.04487,32.81724831,618.5,0.408744971,NB084.71113
NB084,71113,r,46921.04,23.49576365,643.4133333,0.459474892,NB084.71113
NB084,71113,t,25195.1028,12.61647611,669.7133333,0.496460252,NB084.71113
NB084,71113,v,42223.90667,21.14366884,644.43,0.46922356,NB084.71113
NB085,71113,b,53844.2505,26.9625691,615.13,0.424874661,NB085.71113
NB085,71113,r,58362.94067,29.2253083,618.82,0.432663461,NB085.71113
NB085,71113,t,30819.5025,15.4329006,627.4333333,0.489043597,NB085.71113
NB085,71113,v,36759.4406,18.4073313,643.0933333,0.47387538,NB085.71113
NB086,71113,b,140451.33,70.01561815,659.17,0.325661235,NB086.71113
NB086,71113,r,96939.476,48.32476371,637.0866667,0.374378579,NB086.71113
NB086,71113,t,24601.10903,12.26376323,690.07,0.523927374,NB086.71113
NB086,71113,v,67211.34453,33.5051568,659.7966667,0.41589245,NB086.71113
NB087,71113,b,64600.892,32.34896945,611.7833333,0.456474584,NB087.71113
NB087,71113,r,45948.16623,23.00859601,666.79,0.440836533,NB087.71113
NB087,71113,t,17110.5371,8.568120731,642.3933333,0.481334554,NB087.71113
NB087,71113,v,28416.872,14.22978067,659.3933333,0.52920394,NB087.71113
