bird,date,patch,total.bright,avg.bright,hue,chrom
1637,51215,b,111202.327,55.68469054,610.18,0.340709367
1637,51215,r,105158.5803,52.65827758,626.7933333,0.37639467
1637,51215,t,16289.0517,8.156760991,690.4733333,0.492542143
1637,51215,v,73552.206,36.83135003,591.18,0.423130663
1638,51215,b,92807.56053,46.4734905,596.7,0.329470015
1638,51215,r,74993.15273,37.55290573,633.75,0.363214484
1638,51215,t,31479.6636,15.76347702,660.41,0.484431419
1638,51215,v,70595.814,35.3509334,614.8066667,0.397972261
1639,51215,b,135263.5753,67.73338775,645.4,0.308565224
1639,51215,r,128518.641,64.35585428,626.7933333,0.307747358
1639,51215,t,21396.54617,10.7143446,665.7333333,0.521947534
1639,51215,v,84857.02067,42.49224871,650.4266667,0.378528571
1640,51215,b,73333.83723,36.72200162,618.4633333,0.3520999
1640,51215,r,119933.4443,60.05680738,638.7066667,0.315886848
1640,51215,t,28790.53747,14.41689407,681.06,0.500469205
1640,51215,v,60256.8608,30.17369094,559.47,0.398285975
1641,51215,b,92295.64037,46.2171459,610.18,0.352639459
1641,51215,r,92133.00967,46.1357084,610.1233333,0.354011859
1641,51215,t,14186.9088,7.104110566,678.73,0.520486446
1641,51215,v,47229.07053,23.65001028,620.7166667,0.439961692
1642,51215,b,109664.7183,54.91473126,610.18,0.352808674
1642,51215,r,112142.6997,56.15558321,609.7933333,0.353097591
1642,51215,t,20571.47157,10.30118756,669.09,0.431056348
1642,51215,v,69694.86617,34.89978276,636.8,0.403099814
1643,51215,b,84860.55,42.49401602,674.06,0.337488449
1643,51215,r,111778.5027,55.97321115,611.14,0.347286828
1643,51215,t,27738.86627,13.89026854,680.7666667,0.481320303
1643,51215,v,93225.72867,46.68288867,657.06,0.341723214
1644,51215,b,126707.3297,63.44883809,611.1433333,0.31498704
1644,51215,r,131464.0663,65.83077934,626.7933333,0.319343291
1644,51215,t,9762.3675,4.888516525,680.0666667,0.233838563
1644,51215,v,92629.01633,46.38408429,599.8066667,0.353446941
1645,51215,b,137051.561,68.62872359,636.1033333,0.31200967
1645,51215,r,123784.2413,61.98509831,663.11,0.316252898
1645,51215,t,29275.78467,14.65988216,664.3966667,0.536871001
1645,51215,v,87437.89133,43.7846226,595.4166667,0.368882748
1646,51215,b,122652.34,61.41829745,656.76,0.301951596
1646,51215,r,120734.732,60.45805308,625.0266667,0.315095198
1646,51215,t,18883.918,9.456143215,671.4233333,0.451871998
1646,51215,v,89305.494,44.71982674,633.7366667,0.312183035
1647,51215,b,84041.40633,42.08382891,643.7366667,0.352004634
1647,51215,r,101037.4697,50.59462677,614.4133333,0.358366926
1647,51215,t,16922.1676,8.473794492,670.7233333,0.535824736
1647,51215,v,77749.75,38.93327491,632.07,0.386014355
1648,51215,b,87204.98923,43.66799661,680.7666667,0.333655812
1648,51215,r,106588.1283,53.37412535,590.43,0.356899851
1648,51215,t,29037.37863,14.54050007,672.76,0.367982752
1648,51215,v,77186.175,38.6510641,616.4833333,0.377822526
1649,51415,b,81025.20477,40.57346258,610.1266667,0.34545325
1649,51415,r,110745.1833,55.45577533,569.49,0.337652025
1649,51415,t,25653.31963,12.84592871,656.7733333,0.524973401
1649,51415,v,94315.652,47.228669,562.4833333,0.332564593
1650,51415,b,94415.68833,47.27876231,660.02,0.327202079
1650,51415,r,128228.1597,64.21039543,681.08,0.308042569
1650,51415,t,36322.96547,18.18876588,677.39,0.489477033
1650,51415,v,87350.25167,43.74073694,600.1366667,0.362878574
1651,51415,b,59097.64967,29.59321466,598.1233333,0.36257631
1651,51415,r,84338.19533,42.23244634,607.83,0.370688217
1651,51415,t,17898.4691,8.962678568,678.45,0.548785334
1651,51415,v,63628.72067,31.86215356,610.1133333,0.393496321
1652,51415,b,98084.42633,49.115887,608.4366667,0.314157162
1652,51415,r,126355.9677,63.27289317,587.8266667,0.31603555
1652,51415,t,20178.0619,10.10418723,684.4266667,0.51674762
1652,51415,v,91634.17767,45.88591771,599.1566667,0.360835882
1653,51415,b,63978.3939,32.03725283,632.8133333,0.379209046
1653,51415,r,85231.85133,42.67994559,630.07,0.368858768
1653,51415,t,18634.89577,9.331445051,694.13,0.546146791
1653,51415,v,48304.45137,24.18850845,595.82,0.458570115
1654,51415,b,61401.48583,30.74686321,602.75,0.3353964
1654,51415,r,106614.3153,53.38723852,581.36,0.322327769
1654,51415,t,26457.59203,13.24866902,619.12,0.501153818
1654,51415,v,83752.36633,41.9390918,643.4133333,0.339575955
1655,51415,b,95167.66047,47.6553132,680.7666667,0.331250942
1655,51415,r,131937.072,66.06763746,553.5066667,0.317667222
1655,51415,t,32344.79353,16.1966918,667.42,0.503455925
1655,51415,v,73710.02533,36.91037823,574.48,0.389727092
1656,51415,b,83862.53937,41.99426107,643.4066667,0.340068339
1656,51415,r,115038.221,57.60551878,587.5066667,0.338959934
1656,51415,t,26324.45777,13.18200189,675.77,0.493414628
1656,51415,v,102447.7947,51.30084861,587.12,0.337272587
1657,51415,b,84596.47567,42.3617805,660.02,0.295189703
1657,51415,r,91940.609,46.03936355,660.02,0.341197657
1657,51415,t,21322.68623,10.67735916,670.0966667,0.498528122
1657,51415,v,81386.05467,40.75415857,660.02,0.388864748
1658,51415,b,91209.869,45.67344467,603.8066667,0.32109207
1658,51415,r,92618.14333,46.37863963,592.38,0.332188171
1658,51415,t,15228.13937,7.625507945,681.7533333,0.500432177
1658,51415,v,83572.79067,41.84916909,603.1466667,0.381866256
1659,51415,b,85101.51277,42.6146784,639.4066667,0.328602813
1659,51415,r,137816.355,69.01169504,598.44,0.315931408
1659,51415,t,21505.10803,10.76870708,679.07,0.518776996
1659,51415,v,108972.0847,54.56789417,620.78,0.338271788
1660,51415,b,100215.877,50.18321332,633.5,0.311829568
1660,51415,r,106150.647,53.15505608,572.06,0.330711523
1660,51415,t,17761.82487,8.894253814,680.7533333,0.544405534
1660,51415,v,95258.842,47.70097246,574.4133333,0.344158444
1661,51415,b,83833.07747,41.979508,609.7933333,0.316322752
1661,51415,r,102156.923,51.15519429,610.18,0.333663108
1661,51415,t,21355.84793,10.69396491,654.09,0.541017116
1661,51415,v,96575.426,48.36025338,626.48,0.341878101
1662,51515,b,101976.9904,51.06509282,667.41,0.321229917
1662,51515,r,119874.613,60.02734752,656.3766667,0.310845933
1662,51515,t,18526.00163,9.276916191,671.1133333,0.517345935
1662,51515,v,59828.7267,29.9593023,615.45,0.394285812
1663,51515,b,69731.91567,34.91833534,595.8133333,0.356134483
1663,51515,r,94863.379,47.50294392,648.76,0.355079895
1663,51515,t,13119.1746,6.569441462,688.73,0.536141473
1663,51515,v,66590.21733,33.34512636,590.7933333,0.411886777
1664,51515,b,137651.745,68.9292664,606.4333333,0.303936823
1664,51515,r,141439.825,70.82615173,614.13,0.31573522
1664,51515,t,23683.54633,11.85956251,676.3766667,0.524322857
1664,51515,v,111429.1753,55.79828509,606.7566667,0.328784861
1665,51515,b,146311.4423,73.2656196,627.4333333,0.313019016
1665,51515,r,110561.05,55.36357036,624.8133333,0.340492496
1665,51515,t,20304.14893,10.16732545,676.4333333,0.509068414
1665,51515,v,86339.78267,43.23474345,606.4333333,0.387945055
1666,51515,b,121403.4357,60.79290719,602.7,0.316253833
1666,51515,r,128912.3147,64.55298681,590.72,0.333513593
1666,51515,t,26512.94583,13.2763875,629.4233333,0.527992625
1666,51515,v,119497.9207,59.83871841,607.4766667,0.318494084
1667,51515,b,95148.29767,47.64561726,601.0666667,0.320509308
1667,51515,r,101140.221,50.64607962,588.3966667,0.340663676
1667,51515,t,24472.52523,12.25464458,666.06,0.511527313
1667,51515,v,82344.984,41.23434352,575.3833333,0.37004177
1668,51515,b,82454.58287,41.28922527,615.13,0.339966739
1668,51515,r,119917.916,60.04903155,592.1466667,0.331184685
1668,51515,t,20298.73977,10.16461681,655.3533333,0.493938964
1668,51515,v,87286.71367,43.70892021,622.73,0.369317052
1669,51515,b,96092.41167,48.11838341,631.44,0.342683308
1669,51515,r,110240.7727,55.20319112,605.78,0.342946061
1669,51515,t,26625.94317,13.33297104,679.6866667,0.526519835
1669,51515,v,90819.94933,45.47819195,643.4066667,0.336182144
1670,51515,b,96174.159,48.15931848,615.4633333,0.337890152
1670,51515,r,117091.5287,58.63371491,638.7733333,0.336620005
1670,51515,t,22402.84447,11.21824961,684.75,0.52006774
1670,51515,v,71937.58267,36.02282557,634.4533333,0.381630095
1671,51515,b,145355.372,72.7868663,640.0833333,0.308197676
1671,51515,r,105789.9153,52.9744193,643.07,0.331418044
1671,51515,t,23973.9388,12.00497687,653.75,0.515872441
1671,51515,v,76361.16167,38.23793774,633.7666667,0.375556961
1672,51515,b,82402.06037,41.26292457,642.7066667,0.297074315
1672,51515,r,101636.639,50.89466149,597.8,0.339325294
1672,51515,t,21154.17747,10.5929782,666.1133333,0.53190374
1672,51515,v,71071.95227,35.58936017,580.0933333,0.415348253
1673,51515,b,124934.9777,62.56133083,558.1533333,0.317608756
1673,51515,r,133364.2753,66.78231113,569.4366667,0.318805459
1673,51515,t,19816.05373,9.922911234,670.05,0.53496831
1673,51515,v,74443.1904,37.27751147,593.3733333,0.394057155
1674,51515,b,100429.3423,50.29010633,558.8133333,0.332252918
1674,51515,r,140114.259,70.16237306,589.0266667,0.325925159
1674,51515,t,30296.86717,15.17119037,631.4833333,0.506834925
1674,51515,v,96383.29133,48.26404173,581.0333333,0.366595388
1675,51515,b,104698.0183,52.42765064,606.15,0.347786007
1675,51515,r,97257.559,48.70183225,638.5,0.368301907
1675,51515,t,16858.38487,8.441855216,665.8266667,0.524767582
1675,51515,v,43792.22957,21.9290083,629.8133333,0.479559797
1676,51615,b,113852.6087,57.01182207,586.4666667,0.338972834
1676,51615,r,119178.8813,59.67895911,672.79,0.322551518
1676,51615,t,16859.2218,8.442274311,687.7366667,0.524434874
1676,51615,v,101598.79,50.87570856,658.1466667,0.345603987
1677,51515,b,101349.647,50.75094992,606.5,0.332510079
1677,51515,r,111391.6013,55.77946987,641.44,0.337800283
1677,51515,t,34484.49323,17.26814884,647.3766667,0.464412766
1677,51515,v,68355.855,34.22927141,610.5,0.393353969
1678,51615,b,89803.14867,44.96902788,610.18,0.311982816
1678,51615,r,135303.2103,67.75323502,634.1233333,0.310769711
1678,51615,t,16362.64697,8.193613904,675.3666667,0.538773006
1678,51615,v,100884.9757,50.51826523,610.18,0.343727535
1679,51515,b,122040.8567,61.11209648,651.04,0.323940823
1679,51515,r,116730.7413,58.45305024,611.44,0.325053337
1679,51515,t,23713.92653,11.87477543,674.0766667,0.522407115
1679,51515,v,82715.23033,41.41974478,616.1533333,0.359496448
1680,51615,b,102334.695,51.24421382,604.76,0.349985904
1680,51615,r,120209.8487,60.19521716,604.8066667,0.325192852
1680,51615,t,33322.47107,16.68626493,618.1133333,0.495534589
