bird,date,patch,total.bright,avg.bright,hue,chrom
1152,041414,B,63460.9466666667,31.7781405441496,650.426333333333,0.337180154780521
1001,041914,B,101658.013333333,50.9053647137373,631.745,0.312599212658574
1002,041914,B,70351.7366666667,35.228711400434,631.353666666667,0.348466795880073
1003,041914,B,98487.3333333333,49.3176431313637,645.121,0.357147249032424
1004,041914,B,76300.0366666667,38.2073293273243,611.466333333333,0.364245045722132
1005,042114,B,73475.94,36.7931597396094,644.485,0.368308532807443
1006,042114,B,86168.2966666667,43.1488716407945,604.120666666667,0.321141626727982
1007,042114,B,112759.583333333,56.4644883992656,606.810666666667,0.333357216379572
1008,042114,B,80620.2233333333,40.3706676681689,611.448333333333,0.336844291646261
1009,042114,B,68624.2633333333,34.2095031571951,614.728,0.378085436801933
1010,042114,B,84099.6966666667,41.9240761050183,615.053,0.371300009899252
1011,042114,B,82335.6666666667,41.0446992356265,623.407,0.348516366973444
1012,042114,B,94904.5266666667,47.3103323363244,560.399,0.342600910957405
1013,042114,B,76347.3766666667,38.0595098039216,609.722333333333,0.358661510296323
1014,042114,B,76173,37.9725822532403,598.043666666667,0.355229196666112
1015,042214,B,76652.46,38.3838057085628,633.812333333333,0.329713569777451
1016,042214,B,67414.8666666667,33.7580704389918,664.796333333333,0.371000417042321
1017,042214,B,139133.846666667,69.6714304790519,656.356666666667,0.298044470103514
1018,042214,B,91557.9366666667,45.8477399432482,602.450333333333,0.330881349440659
1019,042214,B,87840.4166666667,43.9861876147555,667.726,0.316007926741977
1020,042214,B,84451.5033333333,42.2891854448339,640.732666666667,0.368946081968973
1021,042414,B,61435.4166666667,30.7638541145051,650.061333333333,0.370468482971783
1022,042414,B,96783.44,48.4644166249374,589.169,0.327874733084785
1023,042414,B,54695.7366666667,27.3889517609748,631.425,0.391871402606095
1024,042414,B,59071.4133333333,29.5800767818394,663.398,0.334873473581358
1025,042414,B,87470.3833333333,43.8008930061759,667.732666666667,0.339926447777245
1026,042414,B,63637.8766666667,31.8667384409948,684.687333333333,0.373304176355382
1027,042414,B,64279.21,32.1878868302454,666.728666666667,0.326185767198961
1028,042414,B,99150.3633333333,49.649656150893,677.735,0.327820603725803
1029,042414,B,52568.15,26.3235603405108,607.481333333333,0.385468366218059
1030,042414,B,73039.94,36.5748322483726,639.467333333333,0.329215530946634
1031,042414,B,75960.59,38.0373510265398,670.681666666667,0.32905570994484
1032,042514,B,68206.7433333333,34.1546035720247,640.138,0.342273728125607
1033,042514,B,62716.7266666667,31.4054715406443,610.109666666667,0.374130431811014
1034,042514,B,59718.3733333333,29.9040427307628,673.747,0.343607900584316
1035,042514,B,54771.2433333333,27.4267618093807,610.452666666667,0.388065684519386
1036,042514,B,118659.066666667,59.4186613253213,572.820333333333,0.329072410102355
1037,042514,B,83490.4333333333,41.8079285595059,616.478,0.32446415824608
1038,042814,B,89928.2233333333,45.0316591553998,622.807,0.334257315463294
1039,042814,B,80937.5233333333,40.5295560006677,575.843666666667,0.376596729297749
1040,042814,B,86818.1333333333,43.4742780837924,610.486333333333,0.362031145440217
1041,042814,B,92991.5433333333,46.5656200968119,597.125,0.347892067880866
1042,042814,B,62437.0866666667,31.2654414955767,599.165,0.386840680706496
1043,042814,B,89183.2733333333,44.658624603572,632.131666666667,0.333273151835106
1044,042814,B,66474.4166666667,33.2871390418962,593.786333333333,0.356720729796677
1045,042814,B,72189.9833333333,36.1492154899015,610.501666666667,0.336972678822469
1046,042814,B,84241.6666666667,41.9948487869724,560.726333333333,0.33778138059126
1047,042914,B,103998.306666667,51.8436224659355,650.103666666667,0.30783880679162
1048,042914,B,78655.1233333333,39.2099318710535,597.723,0.362982978138907
1049,042914,B,86296.6666666667,43.0192755068129,660.462333333333,0.344226110726296
1050,042914,B,75209.8366666667,37.4924410103024,633.735666666667,0.344417851333617
1051,042914,B,84828.6533333333,42.2874642738451,633.415,0.328082403833485
1052,042914,B,68645.1166666667,34.2198986374211,603.074333333333,0.36588825030571
1053,042914,B,109296.503333333,54.7303471874478,639.775666666667,0.338280031532994
1054,042914,B,76117.35,37.9448404785643,597.723,0.382199601193575
1055,042914,B,101941.963333333,50.8185260884015,636.449,0.331661980603446
1056,050114,B,61420.73,30.7564997496244,660.022,0.332585473476601
1057,050114,B,63995.5166666667,32.0458270739443,622.407333333333,0.393101679061907
1058,050114,B,86397.0733333333,43.2634318143882,674.058666666667,0.332117909855727
1059,050114,B,89586.6233333333,44.8606025705225,644.163333333333,0.344061237637382
1060,050114,B,86423.0233333333,43.2764263061259,657.444666666667,0.330572442674492
1061,050114,B,61863.6666666667,30.9783007845101,624.784333333333,0.336026362130993
1062,050114,B,88308.4133333333,44.220537472876,631.476666666667,0.322925223773989
1063,050214,B,87809.7366666667,43.9708245701886,645.810666666667,0.327051961201785
1064,050214,B,82030.8466666667,41.0770388916708,645.781666666667,0.346555887018497
1065,050214,B,98050.3,48.8785144566301,674.428333333333,0.32940271355471
1066,050214,B,84874.8233333333,42.3104802259887,609.081,0.342841395730471
1067,050214,B,104446.623333333,52.3017643131364,574.017,0.338671622633169
1068,050214,B,104121.513333333,52.1389651143382,608.14,0.337521145397823
1069,050214,B,83261.38,41.6932298447672,603.076666666667,0.332371275320386
1070,050214,B,102788.133333333,51.4712735770322,567.461333333333,0.332796979347899
1071,050214,B,78779.8933333333,39.4491203471875,626.794,0.350662028574468
1072,050214,B,75864.9933333333,37.9894808879987,603.403,0.366473644558749
1073,050314,B,85329.29,42.7287381071607,643.785666666667,0.349139957861733
