bird,date,patch,total.bright,avg.bright,hue,chrom
1267,061114,b,120054.572333333,60.117462360207,675.06,0.323062999864894
1269,061114,b,121470.951333333,60.8267157402771,643.726666666667,0.319157330312987
1270,061114,b,115081.913666667,57.6273979302287,566.5,0.316764272888621
1273,061114,b,106355.553333333,53.2576631614088,627.766666666667,0.323878925136649
1275,061114,b,124774.488666667,62.4809657820063,643.406666666667,0.303683876873341
1276,061114,b,109449.553333333,54.8069871473878,655.123333333333,0.316935209797921
1279,061114,b,128739.795,64.4665973960941,625.706666666667,0.30522249585995
1280,061114,b,87101.061,43.6159544316475,609.793333333333,0.296601627917152
1281,061114,b,78210.4168,39.1639543314972,606.443333333333,0.35533133145048
1248,061214,b,96505.3506666667,48.3251630779503,643.086666666667,0.307491608616681
1282,061214,b,96952.5706666667,48.5491089968286,609.406666666667,0.298418039406045
1283,061214,b,79513.1532,39.8163010515774,627.493333333333,0.333833820738401
1286,061214,b,145368.233333333,72.7933066266066,627.433333333333,0.302795090929631
1289,061214,b,97843.9873333333,48.9954868970122,638.373333333333,0.306627609760406
1290,061214,b,120503.210666667,60.3421185111,633.5,0.3071544455578
1291,061214,b,158387.886666667,79.3129127023869,634.48,0.297029709240599
1292,061214,b,87437.103,43.7842278417626,661.093333333333,0.330311643172523
1297,061214,b,101994.863333333,51.0740427307628,610.18,0.37648674477968
1299,061214,b,110330.960333333,55.2483526957102,661.16,0.316423901102686
1300,061214,b,130399.158666667,65.297525621766,633.77,0.313550178524161
1301,061214,b,99606.1116666667,49.8778726422968,626.793333333333,0.313814323495316
1302,061214,b,105379.289666667,52.7687980303789,642.156666666667,0.315928607670993
1305,061214,b,146797.748666667,73.5091380403939,628.46,0.32050750830305
1308,061214,b,120987.954,60.5848542814221,657.133333333333,0.302788911691425
1311,061214,b,138694.427333333,69.4513907527959,661.16,0.296568897746178
1312,061214,b,144904.103333333,72.5608930061759,643.46,0.304351878990365
1295,061314,b,119622.430666667,59.9010669337339,655.753333333333,0.303459161319354
1296,061314,b,121368.075333333,60.7752004673677,590.463333333333,0.314832403638701
1313,062214,b,91871.2113333333,46.004612585545,640.48,0.38830141609175
1315,062214,b,73029.8543333333,36.5697818394258,610.18,0.420863855883728
1316,062214,b,58720.187,29.4041997996995,610.82,0.438849657065341
1318,062214,b,53504.536,26.7924566850275,644.486666666667,0.460569234372232
1319,062314,b,26574.9032,13.3074127190786,672.096666666667,0.524639187173219
1320,062314,b,31815.5908666667,15.9316929727925,661.786666666667,0.487528449944433
1321,062314,b,37229.8816,18.6429051577366,655.753333333333,0.486863880267515
1322,062314,b,39531.3536,19.7953698547822,673.106666666667,0.47971990371168
1323,062314,b,90139.17,45.1372909364046,553.176666666667,0.376214840252127
1324,062314,b,54562.322,27.3221442163245,643.786666666667,0.444934205913574
1325,062314,b,47057.9438333333,23.5643183942581,610.5,0.434121450802949
1326,062314,b,34186.1208333333,17.1187385244533,643.786666666667,0.481622995663054
1327,062314,b,50645.8607,25.3609718077116,645.123333333333,0.428193040959381
1329,062314,b,35224.2417,17.6385787180771,644.106666666667,0.446405273055881
1331,062314,b,82018.88,41.0710465698548,583.833333333333,0.37972188047424
1332,062314,b,92006.019,46.0721176765148,632.116666666667,0.351732265222808
1333,062314,b,48904.272,24.4888693039559,643.4,0.435473460034577
1334,062314,b,48989.929,24.5317621432148,610.18,0.437248768998647
1335,062314,b,64733.181,32.41521331998,608.466666666667,0.421832571871886
1336,062314,b,28438.3592333333,14.2405404273076,643.093333333333,0.442211281917211
1337,062314,b,69960.638,35.0328683024537,599.45,0.423369146803604
1338,062314,b,41543.465,20.802936905358,626.793333333333,0.468625087068352
1366,062314,b,70486.8826666667,35.2963859122016,642.813333333333,0.42937840620577
1339,062414,b,104724.096,52.4407090635954,623.056666666667,0.303017136452079
1342,062414,b,58065.364,29.076296444667,626.793333333333,0.420557666832333
1343,062414,b,56711.9926666667,28.3985942246703,625.706666666667,0.382313767306695
1344,062414,b,62060.2293333333,31.0767297613086,609.793333333333,0.429267653391
1345,062514,b,96864.7086666667,48.5051120013353,634.133333333333,0.340176384997866
1346,062514,b,47741.7706666667,23.9067454515106,631.72,0.448202824347845
1347,062514,b,57124.2073333333,28.6050111834418,596.78,0.43539528752343
1350,062514,b,43812.882,21.9393500250376,610.5,0.444115571525552
1351,062514,b,91343.2443333333,45.7402325154398,576.76,0.367885675868455
1352,062514,b,92486.3166666667,46.3126272742447,625.706666666667,0.323213020349126
1353,062514,b,87634.567,43.8831081622434,590.793333333333,0.355104755687941
1354,062514,b,48872.2663333333,24.4728424303121,610.5,0.428633800270795
1355,062514,b,104281.255,52.2189559339009,652.073333333333,0.363617408526122
1356,062514,b,59254.701,29.6718582874311,605.02,0.425722139756574
1357,062514,b,36909.6604666667,18.48255406443,660.4,0.4615136808225
1358,062514,b,59665.9072,29.8777702553831,625.1,0.42153897039737
1359,062514,b,23936.3503,11.9861543815724,677.113333333333,0.481696538218693
1360,062514,b,33941.7165333333,16.9963527958605,626.093333333333,0.470533235742975
1361,062714,b,101135.560666667,50.6437459522617,625.706666666667,0.340174021136826
1362,062714,b,53264.171,26.6720936404607,597.74,0.433291753539262
1363,062814,b,169279.369666667,84.7668350859623,677.73,0.286627054301201
1364,062814,b,86924.4146666667,43.5274985812051,610.5,0.370455317249377
1365,062814,b,33472.0675333333,16.7611755299616,675.06,0.478327308793552
1367,062814,b,65402.0786666667,32.7501645802036,614.413333333333,0.368618350058248
1368,062814,b,53216.983,26.6484641962944,686.416666666667,0.424585393241818
