band,Pop,SITE,Year,bandyear,Sex,age,CI1,RS,mRWL,mLTS,mRTS,maxTS,Mass,Date,Date2,Julian,T_Avg.Brightness,T_Hue,T_Chrom,R_Avg.Brightness,R_Hue,R_Chrom,B_Avg.Brightness,B_Hue,B_Chrom,V_Avg.Brightness,V_Hue,V_Chrom,colordate,T_tcs.h.theta,T_tcs.h.phi,T_tcs.r.vec,T_tcs.r.achieved,T_sum.B2,R_tcs.h.theta,R_tcs.h.phi,R_tcs.r.vec,R_tcs.r.achieved,R_sum.B2,B_tcs.h.theta,B_tcs.h.phi,B_tcs.r.vec,B_tcs.r.achieved,B_sum.B2,V_tcs.h.theta,V_tcs.h.phi,V_tcs.r.vec,V_tcs.r.achieved,V_sum.B2
2540-44512,CO,Sunrise,2008,2540-44512_2008,M,,132,3,119.1666667,101.6666667,102,102,20,50608,5/6/08,127,12.40274044,674.7366667,0.561390993,22.64923218,643.7333333,0.512285823,24.49343232,626.72,0.505327132,21.78872559,666.7433333,0.486651742,2540-44512.50608,-0.171472316,-0.65504793,0.259584541,0.629995181,12.06485263,-0.061582911,-0.731109938,0.235601596,0.629263586,22.08534254,-0.063673572,-0.854155261,0.239822475,0.723310318,23.86476119,-0.071176949,-0.793245029,0.211985698,0.604493409,21.28868557
2540-44513,CO,Sunrise,2008,2540-44513_2008,F,,179,5,116.3333333,80.33333333,81.33333333,81.33333333,19.5,50608,5/6/08,127,11.5908678,685.4366667,0.569286528,28.28182106,602.7733333,0.504914445,31.50183642,589.15,0.393119492,26.06069521,619.4133333,0.50194652,2540-44513.50608,-0.183051181,-0.617892363,0.261713777,0.606383523,11.27225544,-0.031128545,-0.805019668,0.238456389,0.686873063,27.56574498,0.023766282,-0.881413553,0.130130129,0.401659205,31.03034097,-0.03044955,-0.798256713,0.23530815,0.674056398,25.40943849
2540-44514,CO,Sunrise,2008,2540-44514_2008,F,,,,116.5,76.16666667,76,76.16666667,17,50608,5/6/08,127,11.87642964,621.4066667,0.574311562,33.88851494,573.4333333,0.410167262,37.81511968,579.3766667,0.416963626,28.49379419,580.03,0.437263436,2540-44514.50608,-0.124898957,-0.673397192,0.284459285,0.709481104,11.52595899,0.08230576,-0.928649089,0.162369665,0.519829543,33.29237706,0.091228307,-1.001327985,0.178707867,0.601275181,37.08963228,0.040536364,-0.920922035,0.188609047,0.599532847,27.91906661
2540-44515,CO,Sunrise,2008,2540-44515_2008,M,,163,5,120.5,85,85,85,18.5,50608,5/6/08,127,18.44799566,693.7766667,0.534627638,21.54408613,694.15,0.531998079,29.95034836,615.4233333,0.466150721,28.3994455,650.1133333,0.439710219,2540-44515.50608,-0.12204875,-0.733832886,0.250009993,0.669711635,17.96202291,-0.047978283,-0.773880749,0.261112596,0.72920159,20.95425145,0.011591578,-0.873683261,0.211423491,0.647129546,29.27519203,-0.024183281,-0.800724138,0.173469555,0.497711171,27.87060803
2540-44516,CO,Sunrise,2008,2540-44516_2008,F,,145,4,121,84,84,84,17.5,50608,5/6/08,127,16.53151811,658.73,0.575957499,25.12436455,586.0866667,0.453032262,23.14629077,657.77,0.506605155,16.13675714,681.4566667,0.553185922,2540-44516.50608,-0.133164805,-0.710542935,0.286091621,0.746197997,16.03837272,0.032826464,-0.845886477,0.196971764,0.589367487,24.59035711,-0.016733196,-0.795180448,0.240973081,0.687990805,22.55614237,-0.076880473,-0.77050009,0.276252681,0.767115803,15.66817349
2540-44517,CO,Sunrise,2008,2540-44517_2008,F,,135,5,118,83,83.5,83.5,21.5,50608,5/6/08,127,12.80025138,681.7733333,0.55529711,18.19442497,669.7733333,0.524175229,17.85636521,693.7766667,0.492316765,22.28731514,646.1433333,0.551072663,2540-44517.50608,-0.111858244,-0.742869882,0.273527335,0.735488052,12.43633118,-0.051423407,-0.742943652,0.249258297,0.674215716,17.72101364,-0.017354643,-0.854520358,0.233500346,0.703346343,17.41730674,-0.070505315,-0.761937407,0.277612959,0.76540084,21.64514039
2540-44518,CO,Sunrise,2008,2540-44518_2008,F,,163,5,117.5,72,77,77,21.5,50608,5/6/08,127,8.744636789,690.7966667,0.569746325,34.63920681,607.15,0.466584865,33.34731013,615.4333333,0.45425293,20.54422851,652.7733333,0.549506247,2540-44518.50608,-0.150736103,-0.678613053,0.272120172,0.683296438,8.497769809,0.001537292,-0.86399457,0.210130583,0.6389121,33.86674209,0.006196629,-0.889131353,0.200065434,0.621404844,32.63665508,-0.072846361,-0.716673315,0.270618943,0.710768947,19.96853177
2540-44519,CO,Maya's,2008,2540-44519_2008,M,,131,0,118,104,104.8333333,104.8333333,18.5,50708,5/7/08,128,10.47650159,657.77,0.570650731,30.80686313,584.39,0.480843621,23.45585929,693.7766667,0.50841513,15.60200017,662.49,0.574246848,2540-44519.50708,-0.118928609,-0.698355809,0.283878127,0.728616002,10.17827239,-0.030067916,-0.843981852,0.221207659,0.661233026,30.08685745,-0.044752174,-0.793678533,0.242251449,0.690824946,22.86000457,-0.13288915,-0.703777394,0.28375862,0.728735087,15.15362676
2540-44520,CO,Maya's,2008,2540-44520_2008,F,,,,117.5,85.5,86.5,86.5,19.5,50708,5/7/08,128,12.94453146,678.42,0.542210316,27.53509331,600.3766667,0.44656416,20.34695226,664.4866667,0.446831624,19.18965632,670.1466667,0.534431125,2540-44520.50708,-0.114266923,-0.710549701,0.253678577,0.658274265,12.63094926,-0.00146882,-0.806394515,0.18327118,0.528812089,26.99129267,0.002854415,-0.847338746,0.186996094,0.559848496,19.93374248,-0.059677487,-0.736116684,0.256740176,0.68858069,18.67578675
2540-44521,CO,Maya's,2008,2540-44521_2008,F,,,,114,83,83.5,83.5,17,50708,5/7/08,128,9.200521783,681.7733333,0.611417442,30.48912001,643.71,0.463237818,24.9028234,670.1466667,0.503407656,22.49312969,681.4,0.507727188,2540-44521.50708,-0.141832727,-0.686703732,0.319576144,0.810352493,8.901403835,0.011968743,-0.875718347,0.207113219,0.636330447,29.81018842,-0.04618752,-0.821017021,0.239077544,0.699890164,24.27628022,-0.026069112,-0.782351711,0.237473812,0.669661586,21.92493148
