Pfx,ID,Sex,subspecies,Data Year,All Data Years (Recap),mRWL,mRTS,Intact?,Mass,T_AvgBri,T_Hue,T_Chrom,R_AvgBri,R_Hue,R_Chrom,B_AvgBri,B_Hue,B_Chrom,V_AvgBri,V_Hue,V_Chrom,Song?,annual.mean T,annual.cv T,breed.meanT,cv.breedT,max.breedT,min.breedT,breed.varianceT,elevation,ClimStatID, Meant, CVt, Meanp, CVp
CO,2540-46055,M,erythrogaster,2009,2009 only,119.00,86.00,Y,21.00,8.1353,652.1100,0.6480,20.2046,641.7133,0.5034,14.9474,624.0600,0.5590,10.0150,655.0800,0.6284,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44630,M,erythrogaster,2009,"2008, 2009",124.00,93.67,Y,18.00,13.7560,631.1500,0.5368,14.9290,669.7433,0.4617,18.7685,638.0667,0.5335,16.9553,661.8100,0.5331,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44751,M,erythrogaster,2009,"2008, 2009, 2010, 2011, 2012",119.00,94.83,Y,20.00,13.5148,663.4767,0.5417,23.1431,602.8100,0.4999,20.7563,692.1033,0.4987,16.2674,625.6933,0.4747,y,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98617,M,erythrogaster,2009,2009 only,115.50,100.50,Y,17.00,14.2658,664.0567,0.5589,23.7331,631.7733,0.5171,18.8622,588.4033,0.5220,19.3319,650.3700,0.5258,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44888,M,erythrogaster,2009,"2009, 2010",120.00,93.00,Y,18.00,18.6178,667.7800,0.5521,24.1755,621.0567,0.4798,19.6012,614.8133,0.5255,19.2818,657.3533,0.5137,y,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98724,M,erythrogaster,2009,"2009, 2010, 2011, 2012",119.00,88.00,Y,18.75,12.6778,660.4200,0.5390,25.9536,611.1700,0.4780,19.2267,643.7500,0.4941,15.6142,660.4200,0.5335,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2351-05847,M,erythrogaster,2009,2009 only,119.00,86.00,Y,20.00,9.3904,687.8000,0.5920,26.4082,599.4367,0.4758,20.1300,603.1033,0.4841,18.8471,654.7733,0.5461,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44897,M,erythrogaster,2009,"2009, 2010",119.00,92.33,Y,17.00,7.8823,676.3800,0.5789,15.9215,654.4833,0.5420,16.9451,643.0500,0.5143,12.9643,675.7567,0.5578,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44900,M,erythrogaster,2009,"2009, 2010",125.00,91.00,Y,18.00,12.4814,647.3767,0.5205,31.9443,610.3733,0.4144,26.3725,589.6933,0.4544,14.6654,650.0700,0.5370,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-46045,M,erythrogaster,2009,2009 only,119.67,95.00,Y,17.50,7.8674,676.1133,0.6297,28.6265,629.0967,0.4594,24.1811,592.7833,0.4548,12.8100,645.3667,0.5668,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44508,M,erythrogaster,2008,"2008, 2009",123.00,106.00,Y,21.5,15.2004,623.7400,0.5375,30.3228,577.7367,0.4394,23.2119,609.0800,0.4885,24.2577,646.4100,0.5304,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44509,M,erythrogaster,2008,"2008, 2009",121.50,85.33,Y,19.5,10.0930,655.0650,0.5592,29.3126,593.4133,0.4285,27.1530,627.4933,0.4393,20.2196,612.1267,0.5157,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44527,M,erythrogaster,2008,"2008, 2009",123.00,90.83,Y,18,11.4732,694.1500,0.5938,22.6817,657.7700,0.5330,22.5524,657.1333,0.4832,18.9666,657.7700,0.5265,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44531,M,erythrogaster,2008,"2008, 2009",121.00,99.00,Y,19,19.0575,687.4267,0.4960,25.2801,637.4467,0.4965,19.7125,637.7667,0.5207,17.6484,647.4233,0.5743,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44535,M,erythrogaster,2008,"2008, 2009",123.00,96.00,Y,18,22.2534,588.0933,0.4803,29.5180,620.4367,0.4744,22.5228,618.7633,0.5070,14.6828,678.1067,0.5839,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44554,M,erythrogaster,2008,"2008, 2009, 2010",122.00,90.00,Y,18.5,11.0969,648.0867,0.5792,38.8109,601.4500,0.4313,27.5139,572.0600,0.4738,22.2053,624.0600,0.4352,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44561,M,erythrogaster,2008,"2008, 2009, 2010, ",120.00,86.00,Y,17.5,9.0912,681.0767,0.5501,30.2819,607.1533,0.4401,22.0397,626.4433,0.4884,17.6758,639.1300,0.5040,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44569,M,erythrogaster,2008,"2008, 2009",117.50,100.50,Y,20.5,9.6160,687.8000,0.5900,23.4924,626.4700,0.4813,29.8554,593.1400,0.4527,16.8050,672.0933,0.5564,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44580,M,erythrogaster,2008,"2008, 2009",123.00,89.00,Y,19,13.2713,681.4500,0.5539,26.2764,594.7567,0.4671,31.8916,620.7600,0.4156,16.3292,601.7767,0.5474,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44588,M,erythrogaster,2008,"2008, 2009, 2010",116.67,84.00,Y,21,19.6727,670.0733,0.5210,44.3060,562.0600,0.3983,33.2268,618.7900,0.3883,25.2831,596.3800,0.4306,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44594,M,erythrogaster,2008,"2008, 2009",120.17,85.50,Y,17.5,16.4447,623.1000,0.5512,37.5098,567.0933,0.4244,41.9381,578.4467,0.4319,24.7405,594.7600,0.4721,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44604,M,erythrogaster,2008,"2008, 2009",116.00,84.00,Y,18.5,29.5967,677.4167,0.4013,,,,31.8403,576.4233,0.4453,26.7518,601.4633,0.4819,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44629,M,erythrogaster,2008,"2008,2009, 2010, 2011, 2012",117.00,81.50,Y,17.5,23.7969,667.3700,0.5013,35.4579,635.0700,0.4552,32.0264,637.1133,0.4829,34.1555,627.0733,0.4721,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44646,M,erythrogaster,2008,"2008, 2009",123.00,99.50,Y,17.5,13.7645,663.1367,0.5498,20.4451,664.1167,0.5076,18.5464,643.0867,0.4907,18.8142,645.5033,0.5333,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44662,M,erythrogaster,2008,"2008, 2009",122.00,87.17,Y,18.5,20.9614,622.0833,0.4905,32.1719,602.1133,0.4688,38.3302,590.4467,0.4164,21.2357,636.1200,0.5258,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44671,M,erythrogaster,2008,"2008, 2009",123.00,91.00,Y,18,16.4388,637.3900,0.4469,22.1104,601.0600,0.5257,18.3956,650.7800,0.5393,19.5982,600.7567,0.4940,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44678,M,erythrogaster,2008,"2008, 2009",120.17,87.17,Y,19.5,12.8579,656.3867,0.5732,33.3451,564.4100,0.4686,26.6420,617.4500,0.4738,27.5952,607.4200,0.4645,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44680,M,erythrogaster,2008,"2008,2009, 2010, 2012",122.00,103.00,Y,17,17.3671,681.1433,0.4503,18.2963,590.0667,0.4466,30.5686,606.7667,0.4355,26.8910,633.1367,0.4713,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44716,M,erythrogaster,2008,"2008, 2009",124.00,97.00,Y,17.5,18.0268,637.1267,0.5205,30.1465,618.4200,0.4687,9.1940,694.1500,0.5377,27.3520,693.7767,0.5056,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44725,M,erythrogaster,2008,"2008, 2009, 2010",115.00,86.50,Y,17.5,8.8155,663.7367,0.5742,23.9557,606.7500,0.5187,25.9305,629.7833,0.4827,22.6587,666.7500,0.5203,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44743,M,erythrogaster,2008,"2008, 2009",114.00,74.00,Y,18,20.7585,684.4467,0.4362,19.7260,613.7867,0.5399,14.5355,648.7300,0.5486,24.4325,612.0833,0.5049,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44764,M,erythrogaster,2008,"2008,2009, 2010, 2011",120.00,93.00,Y,17.75,19.4021,651.0533,0.4648,32.8732,630.0933,0.4661,18.7996,612.3900,0.4819,15.0637,639.3600,0.5454,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44773,M,erythrogaster,2008,"2008, 2009, 2010",124.17,106.00,Y,19,8.2945,691.1067,0.5908,24.1481,585.7200,0.4608,24.6933,594.3933,0.4617,16.0209,614.1067,0.4898,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44795,M,erythrogaster,2008,"2008, 2009",121.00,90.33,Y,18.5,10.0195,664.0567,0.5764,23.1210,646.0433,0.4833,23.7595,612.0900,0.4419,21.8199,619.4067,0.4828,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44727,M,erythrogaster,2008,"2008, 2009",118.00,82.50,Y,17,11.2833,694.1500,0.5634,19.9206,643.8200,0.5594,22.7397,656.7700,0.5265,11.9870,694.1500,0.5908,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44504,M,erythrogaster,2008,2008 only,123.00,98.67,Y,19.5,3.5162,670.3933,0.6873,31.1662,645.1433,0.4854,15.4314,624.1433,0.5170,13.4716,638.7033,0.5682,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44530,M,erythrogaster,2008,2008 only,118.00,96.00,Y,18,10.3225,694.1500,0.6102,37.9949,610.7333,0.3977,32.4215,603.1467,0.4682,23.9538,622.7533,0.4978,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
