Pfx,ID,Sex,subspecies,Data Year,All Data Years (Recap),mRWL,mRTS,Intact?,Mass,T_AvgBri,T_Hue,T_Chrom,R_AvgBri,R_Hue,R_Chrom,B_AvgBri,B_Hue,B_Chrom,V_AvgBri,V_Hue,V_Chrom,Song?,annual.mean T,annual.cv T,breed.meanT,cv.breedT,max.breedT,min.breedT,breed.varianceT,elevation,ClimStatID, Meant, CVt, Meanp, CVp
CO,2540-44811,M,erythrogaster,2009,"2009, 2010",122.67,94.33,Y,18.75,10.9732,666.7700,0.5591,32.4358,593.0867,0.4412,29.9498,613.7667,0.4306,15.7612,635.0700,0.5301,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44820,M,erythrogaster,2009,"2009, 2010",125.00,92.00,Y,19.5,8.5796,682.0667,0.5529,22.0417,689.0667,0.4801,16.1173,679.7667,0.5072,11.2122,680.4233,0.5690,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44852,M,erythrogaster,2009,"2009, 2010",118.50,87.17,Y,16.5,6.9861,683.4500,0.6321,26.8897,617.0933,0.4789,19.5824,639.0967,0.4688,15.9067,688.1133,0.5749,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44853,M,erythrogaster,2009,"2009, 2010, 2011",118.00,93.00,Y,18,11.4484,659.0967,0.5211,27.7375,590.0933,0.4426,24.4220,636.4133,0.4638,17.5415,659.4233,0.5668,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44864,M,erythrogaster,2009,"2009, 2010, 2011",119.83,99.83,Y,17.75,17.4382,635.0467,0.5415,25.3201,600.3733,0.4837,25.5944,625.0233,0.4201,16.5418,655.3967,0.5027,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44974,M,erythrogaster,2009,"2009, 2010",118.33,101.00,Y,17,11.4142,669.3633,0.5134,17.0155,639.4200,0.5580,25.0565,618.3767,0.4731,17.8383,582.0500,0.4802,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-46015,M,erythrogaster,2009,"2009, 2010, 2011",122.50,97.17,Y,18.5,28.1666,694.1500,0.4497,39.7908,603.0467,0.4139,33.2653,621.3667,0.4320,17.4381,670.1467,0.5718,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-46019,M,erythrogaster,2009,"2009, 2010, 2011, 2012",122.00,87.50,Y,19.5,14.3488,673.3967,0.5336,23.5320,653.7667,0.4942,24.0480,616.8067,0.5072,18.5654,691.7300,0.5136,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-46034,M,erythrogaster,2009,"2009, 2010, 2011",116.83,96.83,Y,17.5,14.7451,668.1100,0.5539,28.5884,575.4033,0.4626,37.1144,584.4433,0.4399,17.6353,642.7600,0.5241,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-46058,M,erythrogaster,2009,"2009, 2010",122.00,92.00,Y,16,17.7779,674.4067,0.4731,36.4535,572.3967,0.3885,34.6717,600.0733,0.4017,28.3534,617.7167,0.4475,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98611,M,erythrogaster,2009,"2009, 2010, 2011",119.00,81.00,Y,17,10.3160,678.4767,0.6278,29.8897,631.1033,0.4654,29.4059,637.1600,0.4439,15.1406,682.7633,0.5639,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98637,M,erythrogaster,2009,"2009, 2010, 2011",120.50,87.00,Y,18.75,20.0946,634.4800,0.4704,21.1824,634.7900,0.4879,20.5575,599.8333,0.4866,13.1150,653.7200,0.5408,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98711,M,erythrogaster,2009,"2009, 2010",120.00,87.00,Y,16.5,9.3701,676.7700,0.5926,30.9806,596.4200,0.4681,36.5061,581.0300,0.4277,34.9370,627.1167,0.4645,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98715,M,erythrogaster,2009,"2009, 2010, 2011, 2012",119.00,101.00,Y,21,16.3540,671.0733,0.4517,30.5894,673.6900,0.3883,35.2098,578.4000,0.4187,27.1927,610.7767,0.4793,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98717,M,erythrogaster,2009,"2009, 2010",119.83,95.67,Y,21,19.1232,648.4333,0.4578,27.7945,622.7500,0.4866,33.5317,624.0500,0.4339,27.4194,617.7767,0.4864,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98719,M,erythrogaster,2009,"2009, 2010, 2012",121.50,95.00,Y,19,12.7466,667.3700,0.5337,24.6570,602.7167,0.4762,25.9594,607.4233,0.4927,19.9064,661.1800,0.5007,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98742,M,erythrogaster,2009,"2009, 2010",118.00,88.00,Y,16,16.5287,655.4400,0.5421,20.7759,580.4233,0.5151,33.9514,590.4567,0.4062,15.4929,661.1133,0.5169,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98753,M,erythrogaster,2009,"2009, 2010, 2011",120.00,100.33,Y,18,10.0120,655.7067,0.3911,20.6280,606.3967,0.4716,11.3237,633.4467,0.5541,14.6283,630.7433,0.5552,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98758,M,erythrogaster,2009,"2009, 2010, 2011",117.50,83.00,Y,17,15.4275,620.0433,0.5355,26.4118,645.0667,0.4785,22.4003,581.4033,0.4524,15.3681,653.4133,0.5450,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98760,M,erythrogaster,2009,"2009, 2010, 2011, 2012",115.50,83.50,Y,16,12.1045,665.3867,0.5737,28.6551,566.0300,0.4385,27.2591,598.0167,0.4293,22.4140,607.4167,0.4682,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98761,M,erythrogaster,2009,"2009, 2010, 2011, 2012",120.00,94.00,Y,19,13.8741,636.0900,0.4886,25.5493,621.7767,0.4991,14.6450,675.7800,0.5321,18.3677,643.6933,0.5010,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98776,M,erythrogaster,2009,"2009, 2010, 2011, 2012",119.00,97.33,Y,16,17.3041,602.7200,0.5402,33.0615,567.7533,0.4401,19.5654,616.7433,0.5059,18.1034,641.4267,0.5096,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98796,M,erythrogaster,2009,"2009, 2010, 2011, 2012",120.00,87.00,Y,18,19.5725,626.0233,0.4906,21.5248,589.0700,0.4861,18.8458,624.7567,0.5161,17.0829,681.0767,0.5786,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44817,M,erythrogaster,2009,2009 only,117.00,94.83,Y,18,11.8625,694.1500,0.5799,19.2536,627.4233,0.5299,18.5005,622.4600,0.5371,16.8759,649.0733,0.5171,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44818,M,erythrogaster,2009,2009 only,119.67,90.00,Y,16.5,10.6765,674.0767,0.5367,19.3168,617.0767,0.4960,15.7138,627.1633,0.5248,16.0242,639.7533,0.5274,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44849,M,erythrogaster,2009,2009 only,118.00,84.67,Y,16.5,13.9587,694.1500,0.5542,43.9066,618.7200,0.3996,29.6309,624.0333,0.4202,13.7868,636.6933,0.5482,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44850,M,erythrogaster,2009,"2009, 2010, 2011",120.33,112.00,Y,17.5,13.8978,677.1000,0.5299,35.4288,598.1400,0.3854,16.0229,678.1000,0.4761,16.0055,622.1400,0.5862,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44880,M,erythrogaster,2009,"2009, 2010",119.00,82.00,Y,19,13.1541,654.6900,0.5849,22.5550,638.4100,0.4951,24.0014,631.1000,0.4854,15.9013,663.4167,0.5265,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44882,M,erythrogaster,2009,2009 only,119.00,88.00,Y,19.5,14.6940,633.7900,0.5299,23.1200,635.7400,0.4842,24.2812,607.4867,0.4636,15.5711,664.3533,0.5565,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44886,M,erythrogaster,2009,"2011, 2012",121.00,86.00,Y,19,21.1415,592.8000,0.4772,30.7925,585.7500,0.4394,26.8809,579.1200,0.4653,17.9694,586.7733,0.4926,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44891,M,erythrogaster,2009,"2010, 2012",111.00,88.50,Y,18,11.0481,660.4133,0.5007,16.4607,607.4200,0.4929,23.0287,636.7333,0.4933,16.6525,650.3833,0.5225,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-46013,M,erythrogaster,2009,"2009, 2010",114.00,85.00,Y,19,29.0556,611.4033,0.4492,35.5362,606.4100,0.4353,37.6306,600.7900,0.4175,21.6287,662.3600,0.4863,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-46021,M,erythrogaster,2009,2009 only,112.50,83.00,Y,16.5,12.3999,677.0667,0.5362,19.2136,686.4533,0.5113,14.9344,674.0800,0.5331,24.2224,610.7833,0.4529,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-46046,M,erythrogaster,2009,2009 only,119.00,86.00,Y,18,13.7135,643.0733,0.5669,27.1495,654.7533,0.4489,32.5816,568.0733,0.4182,21.8205,618.3900,0.4873,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-46050,M,erythrogaster,2009,2009 only,117.50,84.67,Y,16.25,26.6772,655.0267,0.4052,26.8329,637.7567,0.4685,16.9080,592.0667,0.4942,14.9136,654.4300,0.5563,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98601,M,erythrogaster,2009,2009 only,116.00,87.00,Y,16.5,15.8009,613.0667,0.5400,17.6711,645.7033,0.5372,21.0581,665.0900,0.5222,17.1822,668.1267,0.5408,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98602,M,erythrogaster,2009,"2009, 2010",123.00,105.50,Y,20,15.9322,617.4433,0.5061,39.4345,611.0600,0.4096,27.4792,582.6867,0.4590,16.6645,643.0633,0.5226,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98621,M,erythrogaster,2009,"2009, 2011",117.00,90.83,Y,17.5,9.6847,635.6867,0.6055,29.0516,612.4000,0.4802,21.2331,604.0333,0.5000,17.4347,629.3567,0.5371,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98629,M,erythrogaster,2009,2009 only,117.00,86.67,Y,16.5,12.5041,636.4133,0.5625,25.4098,627.8400,0.4743,20.8984,634.7233,0.5156,25.2795,659.7267,0.4414,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98636,M,erythrogaster,2009,2009 only,119.67,88.17,Y,18,11.7926,687.8000,0.5625,25.5374,625.4600,0.4940,24.2595,607.4867,0.4915,16.3063,660.0700,0.5264,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98710,M,erythrogaster,2009,2009 only,123.00,98.50,Y,17,10.7177,610.3700,0.5232,28.5725,585.3700,0.4263,35.9168,579.3767,0.3846,17.9455,571.7267,0.4668,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98725,M,erythrogaster,2009,2009 only,116.00,91.00,Y,17,14.3129,668.1300,0.5346,32.0365,640.1233,0.4520,20.6250,644.5100,0.4675,25.7633,628.1600,0.4839,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98749,M,erythrogaster,2009,2009 only,119.00,83.17,Y,16.5,11.6656,669.3633,0.5720,31.6812,653.1400,0.4366,31.3841,628.7933,0.4457,17.1235,660.8000,0.5058,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98771,M,erythrogaster,2009,2009 only,120.50,99.50,Y,17.5,7.5532,678.4067,0.6018,21.5493,587.8333,0.4726,21.9403,604.8000,0.4762,12.9112,653.4667,0.5899,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98691,M,erythrogaster,2010,"2010, 2011, 2012",123.50,83.50,Y,19,11.2702,674.4600,0.5396,22.5413,630.7800,0.5016,14.7439,615.0800,0.4843,12.5338,632.7567,0.5591,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98712,M,erythrogaster,2010,"2009, 2010, 2011",117.83,85.17,Y,19,11.8863,643.4100,0.5605,24.0115,623.1600,0.4706,24.3713,601.4100,0.4667,17.9704,616.4600,0.5287,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2391-83952,M,erythrogaster,2010,"2010, 2011, 2012",118.00,94.00,Y,20,9.5601,646.1433,0.6096,23.7653,580.4433,0.4606,23.6059,594.1100,0.4828,24.8944,618.3900,0.4742,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98659,M,erythrogaster,2010,"2010, 2011",117.00,90.00,Y,17,10.9082,674.3900,0.5377,19.2989,627.0733,0.4652,19.1413,674.0800,0.4841,15.7166,667.0600,0.4942,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2391-83990,M,erythrogaster,2010,"2010, 2011",121.50,86.50,Y,18.75,14.2532,630.4400,0.5528,21.1721,609.7300,0.5074,11.5699,606.4367,0.5016,15.3816,679.3867,0.5767,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98939,M,erythrogaster,2010,"2010, 2011, 2012",120.00,93.00,Y,17.5,11.2557,667.8200,0.5673,27.1542,644.1300,0.4580,28.1323,627.8400,0.4288,19.1521,667.3700,0.4831,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98969,M,erythrogaster,2010,"2010, 2011",116.00,80.00,Y,17.5,18.1966,653.0300,0.5450,22.9561,625.4633,0.4422,28.0811,583.7267,0.4474,20.3182,639.7367,0.5109,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98933,M,erythrogaster,2010,"2010, 2011, 2012",119.00,82.00,Y,18.75,12.7846,674.4600,0.5489,22.2598,590.0900,0.4798,25.4624,621.3733,0.4483,23.6631,631.7267,0.4858,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44989,M,erythrogaster,2010,"2010, 2011, 2012",121.17,90.00,Y,20,7.7028,678.7267,0.6321,28.1167,641.4267,0.4672,14.4249,662.6967,0.4953,18.9182,666.3900,0.5191,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2600-27242,M,erythrogaster,2010,"2010, 2011, 2012",119.00,88.83,Y,18,14.0691,654.7967,0.5888,24.6472,605.0800,0.4959,28.0113,610.1667,0.4547,20.5755,627.4167,0.4863,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98952,M,erythrogaster,2010,"2010, 2011",119.83,101.00,Y,17,8.3472,688.3833,0.5615,20.2283,668.1300,0.5052,13.1644,660.4200,0.5171,15.1644,673.7567,0.5713,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98934,M,erythrogaster,2010,"2010, 2011, 2012",121.17,89.00,Y,19.5,9.4350,652.4400,0.5695,17.0827,653.8267,0.5191,18.2375,588.3500,0.5301,18.0018,692.7200,0.5161,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2600-27221,M,erythrogaster,2010,"2010, 2011",119.00,87.00,Y,18.5,10.3832,686.7433,0.5833,21.4687,592.3867,0.4942,32.8906,618.1367,0.4445,22.8711,664.3900,0.5143,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-46073,M,erythrogaster,2010,"2010, 2012",118.00,92.00,Y,20.5,9.6741,672.4000,0.5518,18.0569,663.3700,0.5250,23.1961,644.1300,0.4669,20.7249,587.3700,0.4598,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-46077,M,erythrogaster,2010,2010 only,120.00,101.00,Y,18,19.1377,634.7667,0.5071,33.4626,605.0667,0.4605,28.8433,593.3767,0.4715,15.7931,603.3767,0.5396,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98645,M,erythrogaster,2010,2010 only,118.50,95.00,Y,19.5,13.2355,672.4067,0.5457,24.0068,654.8033,0.4595,16.0462,646.0833,0.5412,13.3953,621.4233,0.5196,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98655,M,erythrogaster,2010,"2010, 2012",121.50,89.33,Y,19,13.2411,634.8067,0.5305,18.9951,632.3933,0.4676,30.5522,631.6967,0.3797,23.5199,639.1333,0.4223,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98926,M,erythrogaster,2010,"2010, 2011, 2012",120.33,89.00,Y,19,15.7778,643.4533,0.5015,25.5022,627.4833,0.4624,33.9518,611.1700,0.4315,16.4657,626.7767,0.5439,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98929,M,erythrogaster,2010,"2010, 2011",112.17,87.00,Y,15.75,14.3486,624.3733,0.5069,34.1931,574.7500,0.4186,24.8997,620.7700,0.4466,20.6972,608.0633,0.5243,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-98930,M,erythrogaster,2010,2010 only,121.00,85.00,Y,19.5,11.2740,667.4400,0.5401,27.2601,635.1100,0.4459,28.8282,660.4200,0.4394,23.8453,668.7733,0.5028,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2600-27230,M,erythrogaster,2010,2010 only,118.00,86.83,Y,17.5,21.8807,667.7967,0.5100,25.4870,648.4200,0.4820,26.2402,611.0833,0.4745,18.0668,630.7433,0.5416,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2600-27236,M,erythrogaster,2010,2010 only,117.17,96.00,Y,16.5,8.3253,654.1067,0.6151,27.4980,601.4167,0.4647,26.6536,603.4733,0.4501,13.3897,662.4167,0.5616,,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2351-05510,M,erythrogaster,2009,"2009, 2010",117.00,81.00,Y,16.74,12.8613,652.4300,0.5745,27.3869,572.0567,0.4640,24.2664,584.0833,0.4737,16.9969,651.0333,0.5451,y,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CO,2540-44790,M,erythrogaster,2009,"2008, 2009",117.00,84.00,Y,17.00,10.7130,667.0600,0.5330,22.2881,651.4600,0.5185,20.9138,661.4933,0.5078,31.5782,620.1233,0.4686,y,9.747095,8.118177,16.75084,5.705152,19.41667,15.01667,0.9132874,1606.07143,42572469007,10.745,0.787,0.040,0.823
CR,S528448,M,rustica,,,123.00,97.00,Y,,14.0992,680.8267,0.5149,50.7967,646.7300,0.3275,47.6791,635.1100,0.3294,33.6730,679.7867,0.3879,,7.474835,18.499933,13.34768,12.557056,17.175,10.35,2.8092288,425.4153,61111520000,8.997,0.825,0.041,0.695
CR,S529489,M,rustica,,,125.00,109.00,Y,,11.0961,672.4133,0.4984,27.7354,635.0433,0.4349,42.9357,573.7467,0.3745,19.9759,653.3967,0.4882,,7.474835,18.499933,13.34768,12.557056,17.175,10.35,2.8092288,425.4153,61111520000,8.997,0.825,0.041,0.695
CR,S241292,M,rustica,,,125.00,123.00,Y,,10.3143,688.3833,0.5131,47.3988,658.0600,0.3589,40.2722,633.5000,0.3417,35.7472,660.0400,0.3745,,7.474835,18.499933,13.34768,12.557056,17.175,10.35,2.8092288,425.4153,61111520000,8.997,0.825,0.041,0.695
CR,S417391,M,rustica,,,125.00,107.00,Y,,10.4013,663.7900,0.4938,43.7431,614.4433,0.3506,40.2131,631.7767,0.3571,24.2350,658.4667,0.4087,,7.474835,18.499933,13.34768,12.557056,17.175,10.35,2.8092288,425.4153,61111520000,8.997,0.825,0.041,0.695
CR,S529488,M,rustica,,,128.00,110.00,Y,,9.9973,688.8000,0.5681,34.2055,606.7433,0.3947,42.5003,578.3967,0.3770,19.3272,655.1300,0.4410,,7.474835,18.499933,13.34768,12.557056,17.175,10.35,2.8092288,425.4153,61111520000,8.997,0.825,0.041,0.695
CR,S529490,M,rustica,,,125.00,107.00,Y,,16.4839,626.1167,0.4836,27.3930,617.1033,0.4370,24.6671,660.8000,0.3872,27.5437,644.1300,0.4268,,7.474835,18.499933,13.34768,12.557056,17.175,10.35,2.8092288,425.4153,61111520000,8.997,0.825,0.041,0.695
CR,S241289,M,rustica,,,121.00,110.00,Y,,10.8852,688.3833,0.5274,46.2305,639.4200,0.3461,46.4332,644.1233,0.3327,37.9167,661.4933,0.3893,,7.474835,18.499933,13.34768,12.557056,17.175,10.35,2.8092288,425.4153,61111520000,8.997,0.825,0.041,0.695
CR,S529492,M,rustica,,,125.00,122.00,Y,,14.9137,645.4100,0.5189,32.0165,631.3700,0.4106,30.4228,579.0500,0.3952,26.0521,605.0600,0.4353,,7.474835,18.499933,13.34768,12.557056,17.175,10.35,2.8092288,425.4153,61111520000,8.997,0.825,0.041,0.695
CR,S503641,M,rustica,,,125.00,105.00,Y,,11.3395,664.0567,0.5163,61.6296,633.0200,0.3144,37.3407,599.0967,0.3549,21.7718,671.7733,0.4554,,7.474835,18.499933,13.34768,12.557056,17.175,10.35,2.8092288,425.4153,61111520000,8.997,0.825,0.041,0.695
CR,S417393,M,rustica,,,124.00,104.00,Y,,7.6752,663.0567,0.5663,41.6820,619.1000,0.3603,28.0132,617.0567,0.3532,27.1669,659.7267,0.3738,,7.474835,18.499933,13.34768,12.557056,17.175,10.35,2.8092288,425.4153,61111520000,8.997,0.825,0.041,0.695
CR,S529495,M,rustica,,,121.00,91.00,Y,,8.7429,681.7200,0.5644,44.8180,627.8400,0.3572,46.4118,644.8300,0.3585,27.1593,660.0400,0.4488,,7.474835,18.499933,13.34768,12.557056,17.175,10.35,2.8092288,425.4153,61111520000,8.997,0.825,0.041,0.695
CR,S417390,M,rustica,,,126.00,113.00,Y,,24.9269,603.7033,0.4144,49.9594,650.3833,0.3217,34.9934,637.7633,0.3308,37.8939,673.4533,0.3347,,7.474835,18.499933,13.34768,12.557056,17.175,10.35,2.8092288,425.4153,61111520000,8.997,0.825,0.041,0.695
CR,S242059,M,rustica,,,124.00,132.00,Y,,12.1893,681.7200,0.5070,33.3128,667.8200,0.4120,33.6009,661.4933,0.4084,26.8644,660.8000,0.4407,,7.474835,18.499933,13.34768,12.557056,17.175,10.35,2.8092288,425.4153,61111520000,8.997,0.825,0.041,0.695
CR,S415855,M,rustica,,,123.00,116.00,Y,,6.3070,666.7067,0.5894,33.7126,671.3967,0.3935,33.2398,664.4433,0.4059,26.8586,667.7500,0.4630,,7.474835,18.499933,13.34768,12.557056,17.175,10.35,2.8092288,425.4153,61111520000,8.997,0.825,0.041,0.695
CR,S415898,M,rustica,,,120.00,114.00,Y,,8.0290,688.8000,0.5504,36.5269,585.4233,0.3855,39.4148,614.0667,0.3732,27.3598,657.0733,0.4402,,7.474835,18.499933,13.34768,12.557056,17.175,10.35,2.8092288,425.4153,61111520000,8.997,0.825,0.041,0.695
