band,population,country,year,sex,ci1,rs,tail.mean,weight,date,t.avg.bright,t.hue,t.chrom,r.avg.bright,r.hue,r.chrom,b.avg.bright,b.hue,b.chrom,v.avg.bright,v.hue,v.chrom,band_x_pop,lat,long
73410,israel,Israel,2009,M,NA,NA,NA,18,NA,14.471231,660.7333,0.4799885,25.23373,645.0667,0.4195538,36.53812,645.7067,0.3793188,21.53401,614.0433,0.4747858,73410 IS,32.9282,35.5407
73411,israel,Israel,2009,F,NA,NA,NA,NA,NA,9.274344,688.1133,0.5673962,30.74324,639.7933,0.4222661,32.52902,641.8,0.3664908,21.30716,655.7067,0.4645886,73411 IS,32.9282,35.5407
86138,israel,Israel,2009,M,NA,NA,NA,18.5,NA,6.739445,659.7067,0.5437559,26.413,666.48,0.4453252,24.18664,636.4033,0.4587723,13.03106,667.575,0.5534755,86138 IS,32.9282,35.5407
2351-05403,colorado,USA,2010,F,169,4,76,19.5,50810,14.26913437,659.3966667,0.533427316,48.04428376,660.8,0.371859224,35.75934034,661.4266667,0.412335458,32.25147872,619.0666667,0.391785691,2351-05403 CO,40.0274,-105.2519
2351-05434,colorado,USA,2010,M,NA,NA,87.5,18.5,52210,13.57832716,663.7366667,0.538934659,21.94932449,693.03,0.500502666,20.5766917,674.6966667,0.507885433,17.80629945,685.05,0.529973974,2351-05434 CO,40.0274,-105.2519
2351-05510,colorado,USA,2010,M,154,9,87.5,19,51010,7.932074612,644.3733333,0.582529829,16.09148873,668.7533333,0.562656472,20.31040578,633.7366667,0.472696593,13.39109481,642.3833333,0.49109029,2351-05510 CO,40.0274,-105.2519
2351-05656,colorado,USA,2010,M,146,10,85.25,16.5,60910,13.84374111,671.3833333,0.570037866,33.24561542,616.12,0.410562445,30.67518845,594.3833333,0.426116409,25.22455099,618.7333333,0.401682772,2351-05656 CO,40.0274,-105.2519
2351-05897,colorado,USA,2010,M,144,3,91.5,18,60410,9.014017693,652.7033333,0.57969995,21.95469738,636.0833333,0.483812652,14.03158588,627.3933333,0.497362082,10.89199249,664.7533333,0.579447833,2351-05897 CO,40.0274,-105.2519
2351-25533,colorado,USA,2010,M,NA,NA,98.5,16.5,50810,14.24569588,684.74,0.53401584,15.57573126,644.3966667,0.542025144,19.90296645,659.04,0.500505474,14.19624286,668.585,0.529350482,2351-25533 CO,40.0274,-105.2519
2351-25646,colorado,USA,2010,M,150,0,92.5,18,51810,8.172955266,667.75,0.564150496,23.19345618,693.03,0.509030492,17.2162028,667.75,0.503466841,15.87561125,666.4333333,0.5246903,2351-25646 CO,40.0274,-105.2519
2351-25650,colorado,USA,2010,M,149,8,85.66666667,18.5,61910,14.01418177,652.72,0.548276441,23.2991312,605.3966667,0.480277,22.97652612,647.7566667,0.478682443,19.48413854,624.1066667,0.5133357,2351-25650 CO,40.0274,-105.2519
2351-25666,colorado,USA,2010,M,NA,NA,90,17.5,61010,11.27755199,679.06,0.538244175,21.03171541,643.75,0.484637431,29.66066466,661.4933333,0.451150069,12.10440778,659.7266667,0.543102019,2351-25666 CO,40.0274,-105.2519
2351-25681,colorado,USA,2010,M,NA,NA,88.5,17.5,60810,9.469762811,683.14,0.598843945,26.9875106,626.7866667,0.429809216,24.49846169,579.4033333,0.46894593,18.99778935,646.1433333,0.533404555,2351-25681 CO,40.0274,-105.2519
2351-25783,colorado,USA,2010,M,157,0,93.75,17.5,61110,9.265812552,657.0533333,0.581802305,16.80562193,633.4,0.53692296,15.00320431,620.0866667,0.503770477,13.86699115,646.1166667,0.547378184,2351-25783 CO,40.0274,-105.2519
2391-83716,colorado,USA,2010,M,169,6,88,18,60110,12.85937239,670.0933333,0.55836947,16.81122801,642.7233333,0.52880075,19.55434251,645.4366667,0.500011355,14.01380003,660.7366667,0.527012444,2391-83716 CO,40.0274,-105.2519
2391-83772,colorado,USA,2010,M,173,0,90,17.5,60410,12.01531314,681.7633333,0.577903468,20.42085345,622.46,0.495121071,21.81396228,609.1033333,0.479534665,17.337775,645.8233333,0.557769256,2391-83772 CO,40.0274,-105.2519
2391-83787,colorado,USA,2010,F,157,0,75.25,23,60610,18.44953564,594.7466667,0.533018202,21.87572709,609.83,0.45930209,34.40979419,574.0966667,0.406555844,20.61351477,634.0766667,0.507531627,2391-83787 CO,40.0274,-105.2519
2391-83952,colorado,USA,2010,M,155,0,93,20,51910,9.560074111,646.1433333,0.609586755,23.76534335,580.4433333,0.46055609,23.605889,594.11,0.482767751,24.89436021,618.39,0.474165454,2391-83952 CO,40.0274,-105.2519
2391-83969,colorado,USA,2010,F,NA,NA,87.5,17,52210,8.955854615,688.49,0.560794953,24.34626223,609.0866667,0.459547042,19.89676114,611.4266667,0.494337852,14.45425855,651.4166667,0.521083919,2391-83969 CO,40.0274,-105.2519
2391-83990,colorado,USA,2010,M,157,3,86.25,18.75,53110,14.25316859,630.44,0.552757459,21.17207795,609.73,0.507413452,11.56993574,606.4366667,0.501640234,15.38164079,679.3866667,0.576718195,2391-83990 CO,40.0274,-105.2519
2540-44502,colorado,USA,2010,F,149,8,88.08333333499999,22,60110,13.41979419,668.0766667,0.553213162,25.54296111,586.7366667,0.457744238,15.8436857,632.7166667,0.495600171,17.63015657,638.4066667,0.521638286,2540-44502 CO,40.0274,-105.2519
2540-44510,colorado,USA,2010,F,NA,NA,81,22.5,52110,8.880892339,674.08,0.576929619,26.29287414,626.3733333,0.452341167,32.04294358,586.6766667,0.398650983,23.14663796,637.4333333,0.487427675,2540-44510 CO,40.0274,-105.2519
2540-44520,colorado,USA,2010,M,NA,NA,88.58333333499999,20.5,50410,10.15200234,658.7733333,0.549921549,24.83021148,615.0933333,0.464723726,16.6659344,636.48,0.516004724,15.16146303,654.0833333,0.537843098,2540-44520 CO,40.0274,-105.2519
2540-44526,colorado,USA,2010,F,NA,NA,84.16666667,18,72810,15.49244634,650.07,0.527617096,31.40152145,619.09,0.439601296,24.28166817,630.4833333,0.505650149,18.57084677,641.1133333,0.525813857,2540-44526 CO,40.0274,-105.2519
2540-44536,colorado,USA,2010,F,141,0,84,21.75,52310,10.24446587,650.07,0.53391932,29.07276832,610.01,0.434175795,24.92123135,615.1,0.443246822,18.11646904,641.42,0.498579087,2540-44536 CO,40.0274,-105.2519
2540-44547,colorado,USA,2010,M,158,0,88.5,19.5,52510,10.02009247,647.76,0.557032171,20.35381038,608.45,0.485329403,17.34512953,622.78,0.522976016,10.37852162,648.4366667,0.587985417,2540-44547 CO,40.0274,-105.2519
2540-44550,colorado,USA,2010,F,144,8,81.5,19.5,51910,10.69213887,674.45,0.564313226,17.62792689,640.1233333,0.518724056,21.30633584,639.3633333,0.460288433,16.21205425,662.7433333,0.485892729,2540-44550 CO,40.0274,-105.2519
2540-44552,colorado,USA,2010,F,151,11,76,21,50810,8.754023201,669.7633333,0.562471978,24.7448199,611.49,0.507409678,20.78199232,610.7166667,0.487222322,17.76577883,663.75,0.536281995,2540-44552 CO,40.0274,-105.2519
2540-44554,colorado,USA,2010,M,NA,NA,90,20,60110,7.469259055,682.45,0.603946779,19.87287097,636.72,0.509229736,17.41578735,643.3933333,0.504170298,21.25360541,622.78,0.498028318,2540-44554 CO,40.0274,-105.2519
2540-44558,colorado,USA,2010,F,143,3,88.5,22,60410,14.21852028,675.76,0.543709792,31.18749307,599.1233333,0.44368897,16.43577733,586.0233333,0.472915972,21.56943098,598.3433333,0.463247696,2540-44558 CO,40.0274,-105.2519
2540-44561,colorado,USA,2010,M,NA,NA,93.58333333499999,19.5,50410,8.898595393,678.4066667,0.560717331,23.30274111,637.4333333,0.4702029,15.58557069,659.1,0.461923736,14.65225188,668.05,0.530684763,2540-44561 CO,40.0274,-105.2519
2540-44584,colorado,USA,2010,F,145,6,NA,20.5,51610,12.88754966,659.1,0.576503259,24.12888483,609.6866667,0.468385602,21.76200734,642.7366667,0.474553265,24.49444216,650.4566667,0.448316023,2540-44584 CO,40.0274,-105.2519
2540-44587,colorado,USA,2010,F,183,0,78.5,19,70810,10.45835386,682.78,0.559084825,19.95529845,632.08,0.508791334,25.65848656,614.7066667,0.441213123,12.28916007,664.0833333,0.553356504,2540-44587 CO,40.0274,-105.2519
2540-44588,colorado,USA,2010,F,172,1,84.33333333499999,21,52610,13.07500751,667.06,0.512716614,26.13552762,602.3733333,0.455113058,30.22747922,586.35,0.435761779,19.65955266,634.3766667,0.493542335,2540-44588 CO,40.0274,-105.2519
2540-44593,colorado,USA,2010,F,142,5,72.5,21.25,52610,11.74456685,660.04,0.557962347,20.4216024,603.3533333,0.453264652,23.70851027,618.7866667,0.462922986,17.58277516,654.4366667,0.516487081,2540-44593 CO,40.0274,-105.2519
2540-44595,colorado,USA,2010,F,146,8,78.5,21,51310,8.680256051,660.04,0.559089392,23.2818466,643.3633333,0.466479048,18.69016775,660.04,0.5075833,23.42406309,644.45,0.487303223,2540-44595 CO,40.0274,-105.2519
2540-44597,colorado,USA,2010,F,146,0,80,18.5,51310,10.02656535,660.04,0.566765042,11.85869638,667.06,0.470261533,10.77489601,660.04,0.467122335,21.91621799,660.04,0.449781843,2540-44597 CO,40.0274,-105.2519
2540-44602,colorado,USA,2010,M,142,10,96.25,19,52610,9.149698548,694.15,0.557633644,21.0696438,636.7266667,0.494741944,23.14791938,671.1066667,0.464318774,12.1898648,684.7933333,0.552754585,2540-44602 CO,40.0274,-105.2519
2540-44610,colorado,USA,2010,F,141,0,74,19.5,51310,9.213901018,664.7433333,0.582735233,24.01505926,611.0933333,0.433621133,33.29802988,589.7133333,0.410491892,38.10262594,614.7433333,0.405700685,2540-44610 CO,40.0274,-105.2519
2540-44612,colorado,USA,2010,F,155,0,83.91666667,23.25,52310,16.93906827,622.6966667,0.521683557,33.80705058,566.3566667,0.388134102,18.96606193,612.0866667,0.420779103,15.63240244,617.4133333,0.490467261,2540-44612 CO,40.0274,-105.2519
2540-44618,colorado,USA,2010,F,142,0,82.5,25,52110,11.69437006,647.4233333,0.568105255,25.8577306,604.1033333,0.477683996,29.44537306,565.05,0.40790744,17.40699549,638.7566667,0.543986042,2540-44618 CO,40.0274,-105.2519
2540-44624,colorado,USA,2010,F,145,4,78.5,22.5,52710,9.963194792,661.0633333,0.598614435,29.60233216,635.0433333,0.465438396,27.91330362,615.4033333,0.470314381,20.07576064,646.3766667,0.521183774,2540-44624 CO,40.0274,-105.2519
2540-44628,colorado,USA,2010,F,148,8,82.91666666500001,18.5,70910,13.26425088,639.7766667,0.511259103,28.09375113,604.0666667,0.444742444,21.05064313,660.3966667,0.450378746,17.38232048,638.6966667,0.540745019,2540-44628 CO,40.0274,-105.2519
2540-44629,colorado,USA,2010,M,142,4,91,18.5,52410,11.28819813,694.15,0.568331025,26.9559324,631.7,0.459324465,11.85413003,653.4133333,0.524984098,16.27740828,694.15,0.574770756,2540-44629 CO,40.0274,-105.2519
2540-44631,colorado,USA,2010,F,147,4,88.33333333,19.5,52210,10.74556902,632.4533333,0.558203429,22.53063011,603.44,0.448339509,17.42074428,623.73,0.518959164,11.20083976,676.0633333,0.582379723,2540-44631 CO,40.0274,-105.2519
2540-44674,colorado,USA,2010,F,142,4,77.5,21.5,52410,11.73452162,615.13,0.542618711,28.91954999,593.0633333,0.454743886,24.09517643,585.4,0.431828127,18.98935854,661.0333333,0.482558865,2540-44674 CO,40.0274,-105.2519
2540-44677,colorado,USA,2010,F,143,4,81,20.5,50810,10.87168953,673.11,0.575097762,12.24861542,596.75,0.547800623,20.01878935,604.0633333,0.450363307,21.80680938,578.7233333,0.456462258,2540-44677 CO,40.0274,-105.2519
2540-44680,colorado,USA,2010,M,142,5,106,19,52010,7.587883158,694.15,0.56762751,28.90061676,600.1066667,0.445227535,26.4428234,590.7066667,0.441112763,12.68658872,641.3966667,0.55460666,2540-44680 CO,40.0274,-105.2519
2540-44694,colorado,USA,2010,F,146,6,85.16666666500001,21,50910,10.074556,674.4066667,0.596238621,22.87845168,607.0466667,0.499281036,24.35767067,587.75,0.467888786,13.10580721,663.6866667,0.586326736,2540-44694 CO,40.0274,-105.2519
2540-44709,colorado,USA,2010,M,148,3,83,19.5,52210,5.927064597,694.15,0.589762471,27.09434418,599.4766667,0.478490699,22.69802487,596.4233333,0.443001874,11.14537656,667.3966667,0.586727537,2540-44709 CO,40.0274,-105.2519
2540-44711,colorado,USA,2010,F,147,3,86,23,52710,8.050854115,691.79,0.626770148,18.39598798,623.43,0.531336586,11.01578267,625.75,0.528146048,16.19870873,631.76,0.518968222,2540-44711 CO,40.0274,-105.2519
2540-44718,colorado,USA,2010,F,146,4,82.25,20,53110,13.38719062,664.38,0.540988535,18.164445,614.4533333,0.470871129,18.99008279,600.7633333,0.443718259,12.90459022,661.41,0.553062126,2540-44718 CO,40.0274,-105.2519
2540-44720,colorado,USA,2010,F,131,8,76.5,16,52210,18.09967284,643.7433333,0.531528243,24.46667418,655.05,0.479533135,24.64137456,635.0766667,0.470558612,22.26125321,630.41,0.501503945,2540-44720 CO,40.0274,-105.2519
2540-44725,colorado,USA,2010,M,144,8,96.5,19.5,51910,12.70268536,694.15,0.553490649,22.95091103,631.3666667,0.477353693,21.56137306,604.75,0.482637875,21.11081806,670.7866667,0.504069411,2540-44725 CO,40.0274,-105.2519
2540-44736,colorado,USA,2010,F,139,0,74,21.25,52210,14.19145101,642.0633333,0.509348356,24.4827099,625.0733333,0.480777831,17.73728176,577.75,0.445349977,21.87005325,638.37,0.494544835,2540-44736 CO,40.0274,-105.2519
2540-44750,colorado,USA,2010,F,NA,NA,84,20,51910,6.705702554,670.0933333,0.62066486,30.04144066,596.75,0.430803985,22.28257536,632.7833333,0.425215197,17.21656284,616.7233333,0.475488636,2540-44750 CO,40.0274,-105.2519
2540-44751,colorado,USA,2010,M,150,0,97.66666666500001,18.5,51310,11.8398199,661.11,0.566481215,18.33761108,637.7466667,0.511916711,20.58811567,622.7133333,0.487427123,15.90976415,670.7866667,0.524101801,2540-44751 CO,40.0274,-105.2519
2540-44764,colorado,USA,2010,M,131,8,92.75,19,52210,10.29995744,624.7,0.558445345,23.08501085,647.7433333,0.490685324,19.48031447,640.12,0.519285789,11.34360157,671.1066667,0.593434185,2540-44764 CO,40.0274,-105.2519
2540-44768,colorado,USA,2010,F,146,5,72,19.75,53110,7.97007745,677.1233333,0.586855596,13.11692405,641.3866667,0.527380177,14.13945385,609.7266667,0.513160621,10.49750709,678.1066667,0.571503557,2540-44768 CO,40.0274,-105.2519
2540-44772,colorado,USA,2010,F,133,0,81,21,52210,13.25596578,656.06,0.532476153,19.44727591,655.7533333,0.515715806,21.20043899,633.0533333,0.477052015,15.81104724,665.1066667,0.538193679,2540-44772 CO,40.0274,-105.2519
2540-44773,colorado,USA,2010,M,NA,NA,100,18.5,61010,3.513337339,680.4033333,0.625237406,18.21247304,621.1433333,0.484530111,8.9143463529999991,674.08,0.595553339,7.282112836,669.3566667,0.607327783,2540-44773 CO,40.0274,-105.2519
2540-44810,colorado,USA,2010,F,172,4,76,21.5,53010,20.26615089,667.06,0.507057176,34.77708162,643.75,0.421440022,45.6968002,624.4233333,0.361046502,17.23688383,627.46,0.454072478,2540-44810 CO,40.0274,-105.2519
2540-44811,colorado,USA,2010,M,143,4,93,18.5,50710,7.470505258,683.4033333,0.570810919,28.84334552,623.4266667,0.428971732,23.04921749,611.49,0.474397963,13.33056101,645.7466667,0.568700538,2540-44811 CO,40.0274,-105.2519
2540-44820,colorado,USA,2010,M,142,4,92,19,51610,6.563819897,688.01,0.567056776,20.81501536,661.18,0.508220181,16.4376675,667.37,0.475555093,5.717197797,666.44,0.615437206,2540-44820 CO,40.0274,-105.2519
2540-44823,colorado,USA,2010,M,141,0,91.5,18.5,52310,13.10320764,667.42,0.543220984,20.25707077,688.1133333,0.540166022,14.78931681,613.6833333,0.535501572,16.57188583,625.4333333,0.542458664,2540-44823 CO,40.0274,-105.2519
2540-44843,colorado,USA,2010,F,142,2,90.16666666500001,23,52310,11.83293958,660.8,0.567641434,21.76303872,653.4533333,0.460606279,16.50906393,644.51,0.515206386,18.21535937,628.16,0.500890357,2540-44843 CO,40.0274,-105.2519
2540-44850,colorado,USA,2010,M,NA,NA,102.25,18.5,60810,8.404534635,682.03,0.575496615,30.47471591,628.16,0.4239761,16.54806159,644.51,0.501767649,13.94125872,660.8,0.53478405,2540-44850 CO,40.0274,-105.2519
2540-44853,colorado,USA,2010,M,214,0,96.58333333499999,18.5,60910,12.09235386,634.4133333,0.580302208,19.81359289,640.1133333,0.489445255,12.20491537,646.77,0.507429905,14.0320868,593.7,0.510944526,2540-44853 CO,40.0274,-105.2519
2540-44856,colorado,USA,2010,M,149,0,92,17,60410,10.98843315,665.7966667,0.566965001,15.80561058,606.4033333,0.519491141,14.36343849,601.09,0.531808737,15.09505091,643.4366667,0.544818697,2540-44856 CO,40.0274,-105.2519
2540-44857,colorado,USA,2010,F,141,0,84.08333333,16.5,50710,8.442450342,651.3866667,0.61950923,35.02803372,588.8066667,0.411602987,26.65469504,575.4,0.420053463,19.60631965,591.7733333,0.485804373,2540-44857 CO,40.0274,-105.2519
2540-44860,colorado,USA,2010,F,142,4,76.5,20.75,60410,14.96983408,647.6933333,0.540990484,29.79961125,650.0866667,0.447241994,23.26651427,593.3733333,0.412834192,22.53474896,626.3933333,0.446714071,2540-44860 CO,40.0274,-105.2519
2540-44863,colorado,USA,2010,F,143,0,79.91666666500001,21.75,60410,14.66834669,669.0766667,0.539270199,32.10303572,584.1166667,0.425655619,40.44817543,595.48,0.364960256,30.12370439,599.7366667,0.464978226,2540-44863 CO,40.0274,-105.2519
2540-44864,colorado,USA,2010,M,155,2,100.66666665,18,51610,13.92145235,663.7433333,0.565731095,23.74950626,653.4533333,0.480962242,17.58562911,578.7933333,0.492964004,13.19288149,664.78,0.566207333,2540-44864 CO,40.0274,-105.2519
2540-44866,colorado,USA,2010,F,144,3,77.91666666500001,22,60810,9.061094642,667.1033333,0.599332789,27.91694208,628.1266667,0.448652454,21.76122033,624.1,0.445565262,18.55037056,676.1,0.525175117,2540-44866 CO,40.0274,-105.2519
2540-44874,colorado,USA,2010,M,150,0,92.25,19,51910,8.000458187,679.7766667,0.569850167,15.03683075,670.78,0.539722013,23.87430596,622.46,0.469218868,12.57869254,681.0766667,0.592596951,2540-44874 CO,40.0274,-105.2519
2540-44876,colorado,USA,2010,M,NA,NA,90.5,21,51910,11.30200384,657.4566667,0.482461552,16.92797797,656.1366667,0.559027719,17.38995794,657.48,0.509482876,11.97810583,650.4666667,0.501895773,2540-44876 CO,40.0274,-105.2519
2540-44877,colorado,USA,2010,F,NA,NA,84.5,21,51910,20.40843882,568.0633333,0.501746756,18.80009231,640.49,0.502307605,13.12482741,589.46,0.528202966,16.00944216,617.8066667,0.539896648,2540-44877 CO,40.0274,-105.2519
2540-44880,colorado,USA,2010,M,NA,NA,87.66666667,18.5,51610,9.089274912,687.4266667,0.589460902,13.25186313,648.7666667,0.541844719,20.9071115,622.4,0.48175226,13.08548072,660.3933333,0.581524589,2540-44880 CO,40.0274,-105.2519
2540-44884,colorado,USA,2010,F,145,0,80.5,19,60410,7.995263562,684.08,0.624141984,17.55167001,637.39,0.510105518,21.81240194,603.4666667,0.46188061,13.50269621,618.48,0.544418374,2540-44884 CO,40.0274,-105.2519
2540-44888,colorado,USA,2010,M,154,0,NA,18.5,51910,10.77087314,663.7533333,0.575213432,21.41631113,644.6866667,0.514995349,14.13730863,653.71,0.517909057,14.22260007,686.43,0.555285466,2540-44888 CO,40.0274,-105.2519
2540-44891,colorado,USA,2010,M,NA,NA,93.33333333,16.5,62310,12.50847254,624.41,0.55399682,24.41038291,630.42,0.490288541,22.14647304,663.0266667,0.49748524,12.58921299,694.15,0.585059287,2540-44891 CO,40.0274,-105.2519
2540-44897,colorado,USA,2010,M,151,11,96,17.5,50810,7.881332999,694.15,0.611148846,18.47813971,681.1433333,0.554283613,23.07785946,647.1033333,0.474902476,18.58478251,681.7733333,0.543983743,2540-44897 CO,40.0274,-105.2519
2540-44900,colorado,USA,2010,M,NA,NA,96,20.5,51910,9.149623936,659.7266667,0.529079433,13.29295577,659.7266667,0.526501297,17.38343515,620.03,0.484481358,23.37435336,613.7333333,0.468493883,2540-44900 CO,40.0274,-105.2519
2540-44923,colorado,USA,2010,M,169,5,89,18.75,70210,10.57267284,694.15,0.565422585,14.9365772,644.7333333,0.521366184,17.8424652,623.42,0.504285777,15.44879236,608.13,0.548841599,2540-44923 CO,40.0274,-105.2519
2540-44948,colorado,USA,2010,F,NA,NA,86,21,51010,8.561756468,667.37,0.575888301,32.7083779,598.4033333,0.416192863,21.29552278,635.07,0.45245789,22.91135954,574.3566667,0.440332053,2540-44948 CO,40.0274,-105.2519
2540-44949,colorado,USA,2010,M,NA,NA,101.16666665,19,51010,9.047237523,667.37,0.557726188,20.51900968,643.3633333,0.483416201,31.85292138,611.49,0.453291351,23.91074896,634.4033333,0.443051067,2540-44949 CO,40.0274,-105.2519
2540-44950,colorado,USA,2010,F,145,0,79.25,20.5,60310,22.01896812,590.4266667,0.496047401,33.25780871,569.0533333,0.398950875,47.1377568,595.0966667,0.348454322,25.04567051,617.39,0.475650074,2540-44950 CO,40.0274,-105.2519
2540-44954,colorado,USA,2010,F,158,5,78.33333333499999,21,62210,17.28160491,621.69,0.538050317,32.58578935,599.3566667,0.423823296,35.94864914,609.1033333,0.394117815,21.20720881,630.7433333,0.447951393,2540-44954 CO,40.0274,-105.2519
2540-44973,colorado,USA,2010,F,153,1,83,20,51710,11.31220915,666.12,0.548415107,25.58931514,634.4133333,0.493268721,35.73345919,596.1,0.419940089,20.52350709,656.07,0.485559776,2540-44973 CO,40.0274,-105.2519
2540-44974,colorado,USA,2010,M,151,7,109.1666667,18,50410,7.841618428,694.15,0.608378028,20.71826607,646.1433333,0.540270038,17.31182591,670.1466667,0.518632029,10.83426239,671.1066667,0.584147227,2540-44974 CO,40.0274,-105.2519
2540-44979,colorado,USA,2010,F,NA,NA,75.91666666500001,19,50410,22.58518845,643.3633333,0.490650928,24.40705225,643.75,0.435566634,30.52775764,606.3966667,0.425855627,22.6166024,661.8066667,0.508026972,2540-44979 CO,40.0274,-105.2519
2540-44980,colorado,USA,2010,F,148,3,79.5,20,60810,18.2671554,667.06,0.529829182,43.92088166,660.42,0.363113369,42.98430563,627.46,0.3878402,22.60119648,636.3723965,0.477491546,2540-44980 CO,40.0274,-105.2519
2540-44982,colorado,USA,2010,M,228,0,84.83333333499999,17.5,60810,8.784578534,676.6933333,0.574740165,11.73953981,660.04,0.512509934,20.02024236,660.04,0.505603278,23.13410983,639.4566667,0.528143969,2540-44982 CO,40.0274,-105.2519
2540-44983,colorado,USA,2010,M,NA,NA,83,19.5,60810,7.918487565,623.1,0.652632222,22.30601986,615.7133333,0.468522717,34.73521833,602.0533333,0.38971442,19.55482323,608.72,0.472563017,2540-44983 CO,40.0274,-105.2519
2540-44984,colorado,USA,2010,F,149,0,77,20,60810,14.76591087,678.1,0.531743008,32.38427525,578.7233333,0.451572882,26.7427972,641.7466667,0.46835064,26.08084811,601.7333333,0.485624678,2540-44984 CO,40.0274,-105.2519
2540-44985,colorado,USA,2010,F,145,4,81,18.5,60910,11.19057286,665.1166667,0.483546922,20.23441095,660.3933333,0.491466254,16.78170873,631.4466667,0.507004855,17.07467117,667.4033333,0.499605848,2540-44985 CO,40.0274,-105.2519
2540-44986,colorado,USA,2010,M,189,0,77.83333333,19,60910,11.50621649,660.72,0.60593736,32.99496678,659.7666667,0.430325579,26.94711133,679.04,0.412385228,17.69113103,592.7233333,0.468333644,2540-44986 CO,40.0274,-105.2519
2540-44987,colorado,USA,2010,F,176,3,NA,22.25,60810,15.55228743,630.4233333,0.530397735,34.02269688,637.07,0.422150057,25.7635969,609.4166667,0.416916563,14.68436405,640.0866667,0.501099615,2540-44987 CO,40.0274,-105.2519
2540-44988,colorado,USA,2010,M,NA,NA,91,18,60810,11.22559456,683.45,0.617640119,33.06813353,649.08,0.408681635,13.99273176,665.1166667,0.524214457,13.86097947,622.78,0.594074136,2540-44988 CO,40.0274,-105.2519
2540-44989,colorado,USA,2010,M,199,0,87,20,60810,7.702832749,678.7266667,0.632138905,28.11669788,641.4266667,0.46720608,14.42494141,662.6966667,0.495320885,18.91822016,666.39,0.519143206,2540-44989 CO,40.0274,-105.2519
2540-44990,colorado,USA,2010,F,161,0,79.33333333499999,17,61410,7.154712736,694.15,0.590439376,21.11689234,656.08,0.447774885,16.37966166,643.3833333,0.467678098,29.01718494,625.1066667,0.445446018,2540-44990 CO,40.0274,-105.2519
2540-44991,colorado,USA,2010,F,157,0,70.66666666500001,18,61410,11.40891888,674.72,0.587309561,16.59650542,664.7433333,0.528430897,18.712114,649.78,0.492438423,17.69922684,679.04,0.510415403,2540-44991 CO,40.0274,-105.2519
2540-44992,colorado,USA,2010,F,163,0,77.33333333499999,21.5,61610,9.654307628,678.7266667,0.61865762,39.58015891,602.4133333,0.399516977,29.55476431,588.43,0.442688371,18.546223,605.07,0.484446016,2540-44992 CO,40.0274,-105.2519
2540-44993,colorado,USA,2010,M,163,0,90.16666666500001,18.5,61610,11.5403799,657.14,0.575195119,27.57596712,637.4266667,0.472319147,20.125664,636.0633333,0.484141367,20.38043949,586.7466667,0.493250565,2540-44993 CO,40.0274,-105.2519
2540-44994,colorado,USA,2010,F,157,0,75,19.5,61810,18.69976949,598.02,0.507301725,36.28209648,617.72,0.395609396,35.31205558,575.01,0.409921174,28.31547438,595.1166667,0.431975393,2540-44994 CO,40.0274,-105.2519
2540-44995,colorado,USA,2010,F,163,0,75.08333333499999,17.75,62010,20.81844433,639.0966667,0.477343087,27.16585144,610.8,0.458619773,20.83130262,603.7666667,0.4839545,20.77312936,656.1233333,0.533631541,2540-44995 CO,40.0274,-105.2519
2540-44996,colorado,USA,2010,F,161,0,80.5,19,62210,22.09667768,599.37,0.517688792,49.89942747,587.69,0.360558573,29.09862677,596.7533333,0.44421065,27.06688499,634.7733333,0.448932812,2540-44996 CO,40.0274,-105.2519
2540-45000,colorado,USA,2010,F,NA,NA,81,18.5,62210,17.14407578,634.09,0.555156839,50.06568152,577.09,0.375403463,44.56783926,577.4266667,0.397849571,29.36473928,600.74,0.462941818,2540-45000 CO,40.0274,-105.2519
2540-46009,colorado,USA,2010,F,150,0,70.41666666500001,18.5,51210,26.48594425,602.01,0.477336025,22.62645936,636.0333333,0.48001673500000003,23.33072325,591.76,0.471463616,22.49283592,643.35,0.49234872,2540-46009 CO,40.0274,-105.2519
2540-46012,colorado,USA,2010,F,NA,NA,80.83333333499999,18,62710,19.48421032,646.43,0.515068046,34.3731549,590.1666667,0.4121418,23.52778751,622.0133333,0.446192779,27.47150826,610.07,0.44242413,2540-46012 CO,40.0274,-105.2519
2540-46013,colorado,USA,2010,M,NA,NA,89.41666666500001,18,61510,8.476411117,681.45,0.598544515,18.93627324,628.4666667,0.53075234,19.23511451,655.7566667,0.481259515,19.66332649,664.1166667,0.520607411,2540-46013 CO,40.0274,-105.2519
2540-46014,colorado,USA,2010,F,148,8,81.16666666500001,18.5,50810,14.86129478,610.3966667,0.506282385,26.01226373,597.6966667,0.412182456,28.43059072,622.3966667,0.42707531,28.45198364,607.1033333,0.483297111,2540-46014 CO,40.0274,-105.2519
2540-46015,colorado,USA,2010,M,148,8,97.5,18.75,60110,14.68728059,618.4433333,0.463856765,25.09072943,638.1666667,0.506426731,20.63812853,638.1,0.500723659,14.73005759,694.15,0.562748604,2540-46015 CO,40.0274,-105.2519
2540-46019,colorado,USA,2010,M,145,6,94,19,51610,14.35592472,680.03,0.539238561,21.12177182,633.36,0.511348189,11.68929077,622.4466667,0.556267907,12.80284026,679.72,0.577575829,2540-46019 CO,40.0274,-105.2519
