band,population,country,year,sex,ci1,rs,tail.mean,weight,date,t.avg.bright,t.hue,t.chrom,r.avg.bright,r.hue,r.chrom,b.avg.bright,b.hue,b.chrom,v.avg.bright,v.hue,v.chrom,band_x_pop,lat,long
2540-44527,colorado,USA,2008,M,143,5,90.41666666500001,18,50908,11.4732467,694.15,0.593825324,22.68165916,657.77,0.533037235,22.55241312,657.1333333,0.483217797,18.96659289,657.77,0.526485552,2540-44527 CO,40.0274,-105.2519
2540-44528,colorado,USA,2008,F,NA,NA,81.16666666500001,18.5,50908,15.02266433,694.15,0.558179768,26.9398239,635.0766667,0.468666083,29.25440711,616.49,0.447909523,25.10131848,634.7266667,0.485563128,2540-44528 CO,40.0274,-105.2519
2540-44529,colorado,USA,2008,F,NA,NA,79.5,22,50908,11.67714171,694.15,0.542763042,22.19485946,670.7866667,0.531048152,23.07153497,622.46,0.475404098,25.39824036,634.42,0.507654347,2540-44529 CO,40.0274,-105.2519
2540-44530,colorado,USA,2008,M,157,7,96.5,18,50908,10.32254799,694.15,0.610204913,37.99486446,610.7333333,0.397738924,32.42147722,603.1466667,0.468186846,23.95383759,622.7533333,0.497776482,2540-44530 CO,40.0274,-105.2519
2540-44531,colorado,USA,2008,M,169,4,95.25,19,50908,19.05752963,687.4266667,0.496009146,25.28011167,637.4466667,0.496545956,19.7124637,637.7666667,0.520655727,17.64837556,647.4233333,0.574300959,2540-44531 CO,40.0274,-105.2519
2540-44532,colorado,USA,2008,M,159,0,95,19.5,50908,9.560325154,694.15,0.575620334,35.41260591,603.7833333,0.427095109,24.22726657,606.1033333,0.507201784,20.58361559,669.8266667,0.51913216,2540-44532 CO,40.0274,-105.2519
2540-44533,colorado,USA,2008,F,159,0,75.91666666500001,18,50908,20.50864547,660.0866667,0.542968871,38.67231981,665.76,0.403875629,20.88301636,683.45,0.476452991,32.76692272,629.3966667,0.479240174,2540-44533 CO,40.0274,-105.2519
2540-44534,colorado,USA,2008,M,145,9,74.25,18,51208,9.710687364,694.15,0.595686665,29.83298681,607.4766667,0.501244289,34.82521683,611.7466667,0.441325777,15.09302704,658.1,0.542166936,2540-44534 CO,40.0274,-105.2519
2540-44535,colorado,USA,2008,M,142,9,81.75,18,51208,22.25338658,588.0933333,0.480280571,29.51798681,620.4366667,0.474384801,22.52278635,618.7633333,0.506981386,14.68278251,678.1066667,0.583945439,2540-44535 CO,40.0274,-105.2519
2540-44536,colorado,USA,2008,F,142,9,81.25,18,51208,17.1410646,650.12,0.527056558,31.99085211,588.4233333,0.459923441,36.17583492,592.07,0.452668816,24.31833984,630.69,0.478112958,2540-44536 CO,40.0274,-105.2519
2540-44537,colorado,USA,2008,M,124,0,100,19.5,52208,13.72750542,665.1266667,0.550272614,23.00186496,670.1466667,0.519580069,23.98278,681.1433333,0.468465541,16.29795343,687.8,0.575807583,2540-44537 CO,40.0274,-105.2519
2540-44538,colorado,USA,2008,F,167,0,88.5,19,51208,22.6902412,596.7633333,0.497325061,30.61039042,606.08,0.412561924,35.87807511,573.77,0.397064979,39.19243515,554.11,0.383096677,2540-44538 CO,40.0274,-105.2519
2540-44539,colorado,USA,2008,F,124,0,81.5,23,51208,18.82466166,623.1,0.518424362,40.01747221,571.0766667,0.400584383,41.28791087,574.41,0.400414445,33.1457341,622.46,0.446998577,2540-44539 CO,40.0274,-105.2519
2540-44541,colorado,USA,2008,F,130,0,90.33333333499999,20.5,51208,21.85498131,647.05,0.505648838,33.44252596,586.0266667,0.445259525,22.4571786,635.41,0.420391411,21.48205809,660.0866667,0.515203363,2540-44541 CO,40.0274,-105.2519
2540-44542,colorado,USA,2008,F,150,0,79,19,51208,26.17557253,628.0933333,0.472876914,32.36470806,612.0333333,0.380820131,44.188915540000004,595.4466667,0.367667361,27.02897446,602.7166667,0.472820882,2540-44542 CO,40.0274,-105.2519
2540-44543,colorado,USA,2008,M,142,4,90.58333333499999,18.5,51408,16.7961756,668.72,0.509805501,32.51680704,682.4133333,0.442606839,20.70745885,623.0733333,0.489629106,21.70219095,606.7166667,0.476848716,2540-44543 CO,40.0274,-105.2519
2540-44544,colorado,USA,2008,F,159,0,74,18.5,51408,17.26001102,646.3533333,0.507037985,43.78353247,596.45,0.405103529,39.64885378,617.6933333,0.349044317,34.75836839,599.17,0.449708062,2540-44544 CO,40.0274,-105.2519
2540-44545,colorado,USA,2008,F,142,4,76.08333333499999,17,51408,22.56810616,596.45,0.451887631,42.91371324,595.6766667,0.418373157,34.89760925,598.7833333,0.436694565,25.9313527,599.17,0.501005893,2540-44545 CO,40.0274,-105.2519
2540-44546,colorado,USA,2008,F,145,7,88.5,17.5,51408,13.24567368,652.39,0.579413857,19.7977553,593.79,0.498762009,25.73547922,655.38,0.480789079,21.29106526,657.8066667,0.527543518,2540-44546 CO,40.0274,-105.2519
2540-44547,colorado,USA,2008,M,140,8,81,17.5,51608,16.2759112,668.1266667,0.513076982,25.51465265,622.1233333,0.458963696,30.49648623,601.4466667,0.452145072,17.65907161,651.06,0.524570472,2540-44547 CO,40.0274,-105.2519
2540-44548,colorado,USA,2008,M,137,5,87.25,20,51608,9.866809381,694.15,0.565139811,18.69968903,679.12,0.46956466,29.79151527,681.1433333,0.442028568,25.10581122,614.75,0.450382515,2540-44548 CO,40.0274,-105.2519
