"","Pop","mRWL","mRTS","T_AvgBri","T_Hue","T_Chrom","R_AvgBri","R_Hue","R_Chrom","B_AvgBri","B_Hue","B_Chrom","V_AvgBri","V_Hue","V_Chrom","var"
"39","IL",0.168533132451531,0.108641089019401,0.109580652252915,0.152163782743981,0.0842006482677595,0.107680673205472,0.208252306939169,0.140136089867733,0.0976776229148248,0.21915954388317,0.130255999730244,0.11243373844779,0.217452821073009,0.130975687776678,"SD"
"40","TW",0.128513202801715,0.0707452455137125,0.0956836166732885,0.166242996503326,0.120937322748475,0.141532420677084,0.163848068792324,0.145545093093652,0.108426073534805,0.2014360612608,0.0810365431047785,0.128155964088797,0.2516017114684,0.13067447730759,"SD"
"41","CO",119.451944444444,90.8285416666667,14.0732541666667,658.968786111111,0.539629166666667,26.7046097222222,619.264882638889,0.473824305555556,24.3942618055556,621.371065277778,0.476425,19.4915020833333,641.557891666667,0.517944444444444,"rawmean"
"42","IA",120.326666666667,87.1722222222222,13.4087,673.387659259259,0.555022222222222,28.7963037037037,632.725125925926,0.467518518518518,25.2262333333333,628.425251851852,0.465622222222222,20.4781814814815,643.267774074074,0.511303703703704,"rawmean"
"43","UK",127.5,106.234615384615,9.45574230769231,680.922311538461,0.568392307692308,41.0776076923077,618.354103846154,0.377938461538462,36.4085192307692,612.643330769231,0.379126923076923,29.2803692307692,620.822057692308,0.437288461538462,"rawmean"
"44","CR",124.662251655629,113.242825364238,12.4602685033113,672.635981456954,0.511952606622517,44.0109905298013,628.384101986755,0.374243829801324,44.3558672847682,624.59568410596,0.365803589403974,31.192161589404,637.926943046358,0.422724221192053,"rawmean"
"45","RM",124.72916875,112.6875,6.85878525,680.470625,0.52950578125,37.557120625,646.2275,0.38621456875,29.32943875,651.86354375,0.38452053125,23.48495375,654.177075,0.45557213125,"rawmean"
"46","TR",124.075490196078,107.728431372549,9.76603426635294,675.848223201961,0.537176836627451,35.8927498609804,613.743722548039,0.397791583637255,34.5322539548039,608.320193790196,0.388352708598039,23.969659165098,628.368824182353,0.462539927352941,"rawmean"
"47","IL",124.105,104.933333333333,9.56600995,669.681055,0.528578273333333,29.2602821666667,636.944775,0.440468735,26.3121421666667,614.232333333333,0.434014311666667,17.640117,657.541191666667,0.504492098333333,"rawmean"
"48","TW",116.811111111111,92.7222222222222,8.5266,676.597227777778,0.574755555555556,43.3638111111111,622.339438888889,0.342488888888889,39.3823222222222,635.368694444444,0.324611111111111,32.5577777777778,626.109716666667,0.366311111111111,"rawmean"
