"","band","sex","location","date","rwl.mean","rts.mean","lts.mean","tail.mean","weight","bill.length.mean","bill.width.mean","bill.depth.mean","primary1","primary2","primary3","primary4","primary5","primary6","primary7","primary8","primary9","t.total.bright","t.avg.bright","t.hue","t.chrom","r.total.bright","r.avg.bright","r.hue","r.chrom","b.total.bright","b.avg.bright","b.hue","b.chrom","v.total.bright","v.avg.bright","v.hue","v.chrom","mate.id"
"46","X242048","F","amiad","2/26/15",121,81.33,82.67,82,20.23,5.5,5.4,3.2,97,91,85,79,72,66,62,50,45,28127.6358,14.08494532,660.78,0.471325022,56146.077,28.11521132,660.78,0.410084638,44186.88623,22.12663307,644.43,0.418803729,60801.24867,30.44629377,645.1233333,0.464461273,"Y73414"
"47","X242049","M","Kahal","2/28/15",126.67,117,123,120,20.63,5.67,5.47,2.97,103,94,90,82,77,70,64,57,52,16530.93493,8.277884293,659.3933333,0.466890195,79615.815,39.86770906,610.5,0.396307766,83356.769,41.74099599,598.4466667,0.37133915,61411.011,30.75163295,618.82,0.444175798,"X242050"
"48","X242050","F","Kahal","2/28/2015",120,90,93.33,91.67,NA,6.03,5,2.97,94,90,87,79,74,68,63,58,51,19286.34367,9.657658321,658.7466667,0.515507159,70336.821,35.22124236,627.1733333,0.388518717,58759.53563,29.42390367,582.0766667,0.413317561,53897.02827,26.98899763,672.0933333,0.471546432,"X242049"
"49","X242051","F","Kahal","2/28/2015",123.83,NA,NA,NA,NA,6.13,5.3,3.03,99,95,86,79.5,74.5,68,62,57,49.5,24035.26287,12.03568496,669.4033333,0.463969374,57653.294,28.86995193,643.7266667,0.434322262,60220.213,30.15533951,626.7933333,0.370567147,43788.922,21.92735203,611.14,0.464614673,"X242052"
"50","X242052","M","Kahal","2/28/15",121,109,111,110,19.12,5.67,5.3,3.13,95,94,88,81,75,70,65,60,53,23984.5093,12.01027006,643.0933333,0.479558965,57193.23033,28.63957453,619.1366667,0.42885787,64929.786,32.5136635,627.1133333,0.400049888,38229.03727,19.14323348,610.82,0.488544273,"X242051"
"51","X242053","M","Kahal","2/28/2015",124.67,92,NA,92,19.49,5.97,5.37,3,99,97,90,82,76,70,65,60,53,22487.94557,11.26086408,643.7266667,0.489398424,65905.446,33.00222634,619.4633333,0.421692273,68239.868,34.17119079,606.4333333,0.407803979,45474.69,22.77150225,643.4133333,0.461280943,NA
"52","X242054","F","Kahal","2/28/2015",123,86.5,88,87.25,21.43,5.4,5.37,2.8,97,95,88,79,73,68,63,58,50,18545.98587,9.286923318,658.0666667,0.538109497,62973.4802,31.53404116,644.4066667,0.397125434,65111.6324,32.60472328,661.16,0.396149924,43209.13133,21.6370212,660.7133333,0.476134255,"X242055"
"53","X242055","M","Kahal","2/28/15",120,108.33,107.67,108,18.62,5.5,5.27,2.83,95,92,87,78,72,66,61,54,51,19085.17353,9.55692215,659.3933333,0.457268066,46571.71933,23.32084093,660.0866667,0.432647368,44363.04567,22.2148451,643.7866667,0.41633908,39881.0275,19.97046945,643.0933333,0.455551439,"X242054"
"54","X242056","M","amiad","3/1/15",128.67,108.17,107.17,107.67,19.71,5.83,5.47,3.5,103,100.5,93,84,78,52,67,61,54,22368.44777,11.20102542,659.7066667,0.498487165,68435.454,34.2691307,643.02,0.407989619,76938.14,38.52686029,659.7066667,0.394788113,64665.78,32.38146219,660.02,0.409341814,"X242057"
"55","X242057","F","amiad","3/1/15",124,84.33,83,83.67,21.03,5.57,5.3,3.2,99,96,87,81,78,72,66,59,51.5,22524.25227,11.2790447,678.4733333,0.460093455,66583.48767,33.34175647,625.8266667,0.397283812,82828.745,41.47658738,605.7466667,0.382434043,50341.90633,25.20876632,634.8,0.440165341,"X242056"
