"","X1","X2","hc1.height"
"1",-4,-6,0.0357142857142857
"2",-10,-12,0.0535714285714286
"3",-1,-3,0.178571428571429
"4",-7,-9,0.214285714285714
"5",-5,-8,0.267857142857143
"6",-2,3,0.321428571428571
"7",1,2,0.410714285714286
"8",-11,5,0.446428571428571
"9",4,7,0.571428571428571
"10",6,8,0.767857142857143
"11",9,10,0.857142857142857
